,Layer,Basal_cell_carcinoma nodes,Small_cell_lung_carcinoma nodes,sAB
0,coex_KDN,44,38,0.024853823904456895
1,coex_BST,41,28,0.22024283968329872
2,coex_OVR,41,33,0.018807055392421335
3,coex_LNG,43,36,-0.07635004742746854
4,coex_ITI,44,34,0.0765460030165912
5,coex_VGN,43,34,0.10684527510792896
6,coex_HRV,19,21,0.49672830725462314
7,coex_MSG,45,39,0.20879120879120894
8,coex_ADV,39,27,0.45195545195545184
9,coex_EMS,42,37,0.1801509301509303
10,coex_SMU,39,27,0.1134421134421133
11,coex_ARG,39,26,-0.17435897435897418
12,coex_TST,46,42,0.029456051195181576
13,coex_PIT,44,38,0.3749854125335512
14,coex_LVR,38,28,0.02979038505354281
15,coex_THY,34,30,0.22133631395926434
16,coex_PNC,40,27,0.20750414593698174
17,coex_ATC,42,37,0.23897581792318645
18,coex_BRO,45,41,0.2660386557315737
19,coex_SKN,43,36,0.19136983612991854
20,coex_ADS,20,28,0.992795844625113
21,coex_GEJ,39,36,0.2599145299145298
22,coex_BRB,16,23,0.09930384930384939
23,coex_UTR,41,29,0.13497424306139605
24,coex_STM,39,33,0.21804861804861808
25,coex_HRA,42,32,0.10710263835263834
26,coex_PRS,38,31,0.20942521099382394
27,coex_ATA,35,26,0.289047619047619
28,coex_FIB,41,28,-0.1505706206130384
29,coex_BRC,44,37,-0.003914141414141481
30,coex_ATT,39,32,0.2773130095710741
31,coex_TNV,14,19,0.7196969696969693
32,coex_SPL,41,29,0.01005540988472764
33,coex_LCL,36,21,0.009188034188034377
34,coex_CLS,42,35,0.15216450216450195
35,coex_EMC,43,33,0.0737576900367598
36,coex_CLT,42,35,0.016017316017316263
37,coex_core,42,40,0.3878339140534264
38,coex_WBL,36,29,0.07043650793650791
39,co-essential,15,10,-0.23939393939393971
40,GOBP,18,15,3.3706349206349207
41,ppi,49,50,-0.011170892599464022
42,reactome_copathway,17,20,0.24188277461522234
43,MP,10,15,1.2678571428571428
44,HP,21,19,0.1773182957393482
45,GI_net,23,25,-0.014311594202898403
46,gene_gene_on_CbG_name_mapped,7,15,0.023376623376623495
47,gene_gene_on_GcG_name_mapped,31,35,0.007512917190336532
48,GOMF,3,1,
