,Layer,Emphysema nodes,Erythema_nodosum nodes,sAB
0,coex_KDN,36,36,0.06944444444444442
1,coex_BST,23,27,-0.03352082699908765
2,coex_OVR,29,28,-0.03488246478264623
3,coex_LNG,33,30,0.04996639784946222
4,coex_ITI,30,37,-0.03634530052440499
5,coex_VGN,29,30,0.10238095238095246
6,coex_HRV,31,20,-0.06344432509846021
7,coex_MSG,38,34,-0.1028121775025801
8,coex_ADV,21,32,-0.32997023809523807
9,coex_EMS,25,31,0.05928180158247098
10,coex_SMU,21,27,-0.022889348976305568
11,coex_ARG,23,25,-0.16326885880077358
12,coex_TST,27,33,-0.19461279461279446
13,coex_PIT,29,32,-0.08735119047619055
14,coex_LVR,40,28,0.03143622546607627
15,coex_THY,25,25,-0.14000000000000012
16,coex_PNC,27,32,-0.0026483050847456724
17,coex_ATC,26,30,0.21951566951566948
18,coex_BRO,26,29,0.06536209398929005
19,coex_SKN,31,29,0.20225988700564979
20,coex_ADS,27,28,0.09615384615384626
21,coex_GEJ,24,28,0.13369963369963367
22,coex_BRB,24,19,-0.07043650793650791
23,coex_UTR,20,23,-0.1071428571428572
24,coex_STM,35,34,0.11661795152843757
25,coex_HRA,25,28,0.45283882783882756
26,coex_PRS,23,30,-0.2443489793564757
27,coex_ATA,22,32,0.02442815249266861
28,coex_FIB,21,25,0.10800865800865811
29,coex_BRC,24,25,0.16163265306122465
30,coex_ATT,29,35,0.05197044334975365
31,coex_TNV,23,20,0.06827383143172616
32,coex_SPL,32,28,-0.13417098242310121
33,coex_LCL,22,24,0.05968379446640326
34,coex_CLS,27,31,0.09826825127334482
35,coex_EMC,32,29,0.3419027093596061
36,coex_CLT,28,33,-0.12492743527226269
37,coex_core,33,37,-0.0517620741501339
38,coex_WBL,33,30,0.22140456989247315
39,co-essential,7,5,-0.38809523809523805
40,GOBP,17,28,0.746846846846847
41,ppi,49,47,0.09222119698943398
42,reactome_copathway,29,18,0.40112665112665113
43,MP,13,11,1.2192307692307693
44,HP,22,19,0.07474617808379036
45,GI_net,18,25,0.14239316239316224
46,gene_gene_on_CbG_name_mapped,15,9,0.05555555555555558
47,gene_gene_on_GcG_name_mapped,29,29,-0.2586206896551724
48,GOMF,5,10,
