,Layer,Bladder_neoplasm nodes,Medulloblastoma nodes,sAB
0,coex_KDN,43,47,-0.274586478148515
1,coex_BST,32,37,0.13189140227183715
2,coex_OVR,32,37,-0.10363351966767542
3,coex_LNG,41,43,0.07060801344914536
4,coex_ITI,43,43,-0.22093023255813948
5,coex_VGN,35,39,-0.21789921789921807
6,coex_HRV,35,19,-0.04901960784313708
7,coex_MSG,42,41,-0.07063795250689164
8,coex_ADV,29,35,0.03885269346893394
9,coex_EMS,35,39,-0.15520245520245513
10,coex_SMU,31,42,-0.15262609683732076
11,coex_ARG,29,38,-0.10503291166671169
12,coex_TST,40,46,-0.18680485338725972
13,coex_PIT,38,40,-0.2180499325236167
14,coex_LVR,41,36,-0.012019146165487715
15,coex_THY,34,39,-0.04678815678009851
16,coex_PNC,34,39,-0.37679497510279125
17,coex_ATC,33,40,0.11919642857142865
18,coex_BRO,35,40,-0.40714285714285703
19,coex_SKN,33,43,-0.28964631782945727
20,coex_ADS,33,33,0.3954056695992181
21,coex_GEJ,38,34,-0.1346145233883429
22,coex_BRB,29,20,-0.34345238095238084
23,coex_UTR,26,32,-0.1126906498673741
24,coex_STM,41,42,-0.09503869135076903
25,coex_HRA,33,38,0.12020676691729326
26,coex_PRS,37,38,-0.3431477620374521
27,coex_ATA,30,40,-0.18246911991765336
28,coex_FIB,31,40,-0.2796261210054314
29,coex_BRC,35,39,0.16018216018216047
30,coex_ATT,27,39,0.02692307692307727
31,coex_TNV,26,15,0.12520325203252058
32,coex_SPL,30,42,-0.3750000000000002
33,coex_LCL,25,32,-0.36784511784511786
34,coex_CLS,35,37,-0.09488709488709501
35,coex_EMC,35,39,0.06966569557222257
36,coex_CLT,34,43,-0.17193353362263997
37,coex_core,44,44,0.09090909090909105
38,coex_WBL,38,36,-0.03880195985459123
39,co-essential,10,21,0.3119047619047617
40,GOBP,8,9,0.5416666666666665
41,ppi,50,50,-0.06000000000000005
42,reactome_copathway,29,27,0.2939814814814814
43,MP,10,14,-0.5238095238095237
44,HP,23,30,-0.040032813781788246
45,GI_net,28,37,-0.26429655461913515
46,gene_gene_on_CbG_name_mapped,16,12,0.2008928571428572
47,gene_gene_on_GcG_name_mapped,28,37,-0.15778883278883282
48,GOMF,6,2,
