,Layer,Intermittent_claudication nodes,Renal_insufficiency nodes,sAB
0,coex_KDN,44,41,0.1662025564105909
1,coex_BST,33,17,0.6279500891265597
2,coex_OVR,37,29,0.44677012177012143
3,coex_LNG,41,32,0.5027777777777778
4,coex_ITI,39,34,0.2977799128081158
5,coex_VGN,38,30,0.4713716108452948
6,coex_HRV,25,17,0.14364145658263272
7,coex_MSG,39,36,0.10611111111111104
8,coex_ADV,33,20,0.7800028587764436
9,coex_EMS,36,22,0.07873851294903922
10,coex_SMU,32,23,0.1984436758893282
11,coex_ARG,38,23,0.553585049580473
12,coex_TST,38,33,0.22347080890446347
13,coex_PIT,39,28,0.3234221918432443
14,coex_LVR,43,31,0.17891972993248295
15,coex_THY,35,23,0.2673163418290856
16,coex_PNC,38,27,0.27078272604588394
17,coex_ATC,37,31,0.5263218626596236
18,coex_BRO,38,26,0.4120698380566803
19,coex_SKN,38,27,0.3445865220058768
20,coex_ADS,32,23,0.697675045851764
21,coex_GEJ,35,22,0.5259740259740258
22,coex_BRB,25,29,0.5432207365704902
23,coex_UTR,33,19,0.5789166973377502
24,coex_STM,38,28,0.3060207336523124
25,coex_HRA,37,23,0.5834522410609366
26,coex_PRS,37,25,0.39072362685265905
27,coex_ATA,37,32,0.6189163546848557
28,coex_FIB,36,16,0.37793803418803407
29,coex_BRC,40,22,0.07558651026392926
30,coex_ATT,37,25,0.4458064516129028
31,coex_TNV,22,22,0.5562814378603851
32,coex_SPL,40,24,0.17395833333333321
33,coex_LCL,33,18,0.4545454545454546
34,coex_CLS,38,26,0.5861848607750246
35,coex_EMC,37,24,0.48716954659577594
36,coex_CLT,38,30,0.29896800825593406
37,coex_core,42,31,0.40098039215686265
38,coex_WBL,39,22,-0.014835164835164782
39,co-essential,16,6,0.9041666666666668
40,GOBP,15,12,-0.17350427350427333
41,ppi,49,49,0.13265306122448983
42,reactome_copathway,21,16,0.25189075630252145
43,MP,17,11,-0.6595860566448803
44,HP,17,31,0.3224981437175152
45,GI_net,27,19,0.346314017366649
46,gene_gene_on_CbG_name_mapped,13,11,0.4137529137529137
47,gene_gene_on_GcG_name_mapped,37,26,-0.039666039666039765
48,GOMF,6,3,
