,Layer,Pneumonia nodes,Pleural_effusion nodes,sAB
0,coex_KDN,36,39,0.10465694883503107
1,coex_BST,23,25,-0.2821946169772258
2,coex_OVR,28,29,-0.1223088852399199
3,coex_LNG,35,32,-0.06421703296703307
4,coex_ITI,31,38,0.22640904661777528
5,coex_VGN,22,30,-0.34659475075296564
6,coex_HRV,31,26,0.05396672293224003
7,coex_MSG,38,37,-0.026922712185869946
8,coex_ADV,35,27,0.06867231129526186
9,coex_EMS,26,26,0.06461538461538474
10,coex_SMU,23,26,-0.15763429117466377
11,coex_ARG,22,29,0.07623376623376643
12,coex_TST,25,30,-0.10181818181818181
13,coex_PIT,33,33,-0.1212121212121211
14,coex_LVR,32,36,-0.171875
15,coex_THY,23,29,-0.08106503470953585
16,coex_PNC,26,28,-0.23229548229548236
17,coex_ATC,26,33,-0.04745523872679036
18,coex_BRO,35,34,-0.08385802082026839
19,coex_SKN,23,31,0.05495818399044183
20,coex_ADS,24,30,-0.050320512820512864
21,coex_GEJ,30,29,0.002463054187192615
22,coex_BRB,28,28,-0.2116402116402114
23,coex_UTR,17,19,0.1006944444444442
24,coex_STM,31,33,0.09440676930596292
25,coex_HRA,25,27,0.024615384615384706
26,coex_PRS,28,27,-0.0728291316526608
27,coex_ATA,26,31,0.2484436898698359
28,coex_FIB,26,15,0.545209176788124
29,coex_BRC,24,23,-0.13166820844896732
30,coex_ATT,24,32,-0.08867924528301874
31,coex_TNV,24,24,-0.04777597903176023
32,coex_SPL,23,32,-0.2212944664031622
33,coex_LCL,16,14,-0.14732142857142838
34,coex_CLS,24,31,-0.011424731182795522
35,coex_EMC,27,32,-0.16700996547394853
36,coex_CLT,29,36,0.2226190476190475
37,coex_core,34,37,0.05756302521008405
38,coex_WBL,30,29,0.03337229690239618
39,co-essential,9,7,-0.5873015873015872
40,GOBP,12,19,2.2944078947368425
41,ppi,50,47,0.17016450976091257
42,reactome_copathway,25,17,0.055608974358974494
43,MP,11,17,0.7778846153846155
44,HP,12,26,0.07574224021592446
45,GI_net,22,22,-0.12477563087319177
46,gene_gene_on_CbG_name_mapped,14,7,-0.0714285714285714
47,gene_gene_on_GcG_name_mapped,29,23,-0.11258793680083046
48,GOMF,2,8,
