,Layer,Movement_disorder nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,34,29,0.19927343464237035
1,coex_BST,25,19,0.14818181818181841
2,coex_OVR,22,21,-0.1121262458471759
3,coex_LNG,24,31,0.42894265232974904
4,coex_ITI,33,24,0.08143939393939403
5,coex_VGN,27,25,-0.11786324786324798
6,coex_HRV,20,16,0.8989919354838709
7,coex_MSG,30,26,0.14789377289377303
8,coex_ADV,23,20,0.5130434782608697
9,coex_EMS,26,22,0.040209790209789986
10,coex_SMU,24,19,0.10139036172970428
11,coex_ARG,32,22,0.20496632996633024
12,coex_TST,39,24,0.15361721611721624
13,coex_PIT,35,25,0.17102756892230575
14,coex_LVR,29,33,0.3527226285846976
15,coex_THY,26,19,0.6971639471639475
16,coex_PNC,23,21,0.004987765857331183
17,coex_ATC,21,22,0.2557384475989126
18,coex_BRO,41,24,0.46346302748741763
19,coex_SKN,25,18,0.042635658914728314
20,coex_ADS,21,16,0.34652777777777777
21,coex_GEJ,32,19,0.42831541218638014
22,coex_BRB,36,15,0.6416666666666666
23,coex_UTR,20,21,0.17125435540069667
24,coex_STM,31,26,0.13126333202733886
25,coex_HRA,26,19,0.3028789923526767
26,coex_PRS,22,27,0.25509906759906764
27,coex_ATA,26,17,0.708670946017047
28,coex_FIB,24,17,0.17160087719298223
29,coex_BRC,39,23,0.2264864445564907
30,coex_ATT,23,17,0.5400989409141581
31,coex_TNV,19,15,0.7702522435120058
32,coex_SPL,22,38,0.4216704389118182
33,coex_LCL,22,16,0.703102453102453
34,coex_CLS,31,24,0.638425925925926
35,coex_EMC,24,26,0.0817307692307696
36,coex_CLT,29,24,0.13634515289525062
37,coex_core,34,32,0.5335994241968198
38,coex_WBL,31,34,0.29612059877714536
39,co-essential,7,11,0.9834054834054835
40,GOBP,18,28,1.7739119433198378
41,ppi,50,50,0.30000000000000004
42,reactome_copathway,11,10,1.2676767676767675
43,MP,7,15,1.962406015037594
44,HP,20,22,1.2329004329004327
45,GI_net,16,16,0.11249999999999982
46,gene_gene_on_CbG_name_mapped,14,15,-0.07290640394088665
47,gene_gene_on_GcG_name_mapped,35,32,0.20681636460554365
48,GOMF,4,2,
