,Layer,beta_Thalassemia nodes,Goiter nodes,sAB
0,coex_KDN,29,35,0.23828062927061788
1,coex_BST,19,21,0.07857142857142874
2,coex_OVR,21,29,0.36926108374384237
3,coex_LNG,31,26,0.585993934381031
4,coex_ITI,24,27,-0.02056100217864909
5,coex_VGN,25,25,-0.06000000000000005
6,coex_HRV,16,10,0.1090277777777775
7,coex_MSG,26,31,0.09555526533455239
8,coex_ADV,20,16,0.31666666666666643
9,coex_EMS,22,14,0.24747474747474785
10,coex_SMU,19,14,0.04265873015873023
11,coex_ARG,22,21,0.3197392038855451
12,coex_TST,24,18,-0.06250000000000022
13,coex_PIT,25,26,0.29687782805429874
14,coex_LVR,33,19,0.303030303030303
15,coex_THY,19,27,0.8870370370370368
16,coex_PNC,21,20,-0.00029036004645766056
17,coex_ATC,22,20,0.10324675324675336
18,coex_BRO,24,21,0.27261904761904754
19,coex_SKN,18,20,0.039912280701754455
20,coex_ADS,16,13,0.3878481432360741
21,coex_GEJ,19,22,0.05502392344497631
22,coex_BRB,15,15,0.3440476190476187
23,coex_UTR,21,19,0.3260073260073262
24,coex_STM,26,23,0.12690260050508484
25,coex_HRA,19,15,0.1926728586171309
26,coex_PRS,27,18,0.009518259518259242
27,coex_ATA,17,22,0.4771698889345948
28,coex_FIB,17,23,0.15625
29,coex_BRC,23,22,0.22049689440993792
30,coex_ATT,17,21,0.3966779279279278
31,coex_TNV,15,13,0.8078021978021979
32,coex_SPL,38,24,1.382402894697977
33,coex_LCL,16,22,0.3691749427043547
34,coex_CLS,24,21,0.2958333333333334
35,coex_EMC,26,18,0.3089133089133087
36,coex_CLT,24,23,-0.02306891766882524
37,coex_core,32,30,0.6673835125448031
38,coex_WBL,34,17,0.45858343337334917
39,co-essential,11,9,1.2212918660287078
40,GOBP,28,20,1.1538461538461537
41,ppi,50,41,0.2874269632806217
42,reactome_copathway,10,7,0.4267676767676769
43,MP,15,14,0.42032967032967017
44,HP,22,38,1.0816845553687657
45,GI_net,16,16,0.3270833333333334
46,gene_gene_on_CbG_name_mapped,15,11,0.372027972027972
47,gene_gene_on_GcG_name_mapped,32,21,0.13408299640610966
48,GOMF,2,2,
