,Layer,Primary_biliary_cholangitis nodes,Pneumonia nodes,sAB
0,coex_KDN,41,36,-0.20071815718157193
1,coex_BST,17,23,-0.062446717817561836
2,coex_OVR,20,28,-0.341449960598897
3,coex_LNG,30,35,0.07362148418878123
4,coex_ITI,36,31,-0.005917990691702846
5,coex_VGN,29,22,-0.009796238244514033
6,coex_HRV,20,31,-0.16283121597096173
7,coex_MSG,28,38,-0.12570488721804507
8,coex_ADV,24,35,0.35925324675324655
9,coex_EMS,22,26,-0.14160839160839167
10,coex_SMU,22,23,-0.1114844093104963
11,coex_ARG,18,22,-0.06313131313131315
12,coex_TST,28,25,-0.11413746630727761
13,coex_PIT,26,33,0.08530875903757251
14,coex_LVR,32,32,-0.015625
15,coex_THY,30,23,-0.15165494175988914
16,coex_PNC,22,26,-0.20352564102564097
17,coex_ATC,24,26,-0.2943589743589745
18,coex_BRO,24,35,-0.07484866828087178
19,coex_SKN,28,23,-0.1728723404255319
20,coex_ADS,22,24,-0.29487812911725975
21,coex_GEJ,23,30,-0.022878560719640006
22,coex_BRB,17,28,-0.03160597572362267
23,coex_UTR,20,17,-0.31319444444444433
24,coex_STM,30,31,0.4924026088489333
25,coex_HRA,27,25,2.220446049250313e-16
26,coex_PRS,26,28,-0.06707875457875456
27,coex_ATA,24,26,-0.08666666666666689
28,coex_FIB,21,26,0.1280492557088302
29,coex_BRC,22,24,0.12121212121212133
30,coex_ATT,28,24,-0.3520408163265307
31,coex_TNV,19,24,-0.09870971032231735
32,coex_SPL,35,23,0.14052259584493476
33,coex_LCL,20,16,-0.3478349673202612
34,coex_CLS,29,24,-0.035623732251521156
35,coex_EMC,30,27,-0.147138047138047
36,coex_CLT,32,29,0.11324404761904772
37,coex_core,37,34,0.16549953314659183
38,coex_WBL,33,30,0.1829725829725828
39,co-essential,2,9,-1.6111111111111116
40,GOBP,18,12,2.3474264705882355
41,ppi,50,50,0.17999999999999994
42,reactome_copathway,19,25,0.10161943319838085
43,MP,22,11,1.199431818181818
44,HP,27,12,-0.038105413105413266
45,GI_net,25,22,0.0594372294372294
46,gene_gene_on_CbG_name_mapped,12,14,-0.14239926739926734
47,gene_gene_on_GcG_name_mapped,33,29,-0.0464657700475275
48,GOMF,8,2,
