,Layer,Cellulitis nodes,Otitis_media nodes,sAB
0,coex_KDN,45,35,0.13650793650793647
1,coex_BST,22,25,0.5151515151515151
2,coex_OVR,38,26,0.1647196647196647
3,coex_LNG,42,38,0.7011278195488724
4,coex_ITI,44,32,0.06892942583732053
5,coex_VGN,41,28,0.19265822455665926
6,coex_HRV,34,19,0.033880483673111694
7,coex_MSG,45,41,0.09006113316947117
8,coex_ADV,30,30,0.41079854809437366
9,coex_EMS,30,26,0.14121212121212112
10,coex_SMU,31,22,0.18513805123665117
11,coex_ARG,27,19,0.17069243156199665
12,coex_TST,35,33,0.0855996944232238
13,coex_PIT,36,34,0.06222563652326607
14,coex_LVR,36,27,-0.004403481822836897
15,coex_THY,41,23,0.0610087486744435
16,coex_PNC,34,23,-0.07249476865845184
17,coex_ATC,42,30,0.14444444444444438
18,coex_BRO,39,33,0.14411275223632214
19,coex_SKN,33,29,-0.18395860720666057
20,coex_ADS,39,23,0.359364548494983
21,coex_GEJ,35,35,0.37925407925407884
22,coex_BRB,31,29,0.3286985539488323
23,coex_UTR,27,17,0.764209248427326
24,coex_STM,43,32,0.3497044573643413
25,coex_HRA,27,22,0.3896791039648182
26,coex_PRS,37,30,0.13772354443996226
27,coex_ATA,38,24,-0.15244765138653094
28,coex_FIB,20,22,-0.07563879210220659
29,coex_BRC,25,24,0.039047619047618554
30,coex_ATT,36,27,0.04761904761904745
31,coex_TNV,30,16,0.05769927536231911
32,coex_SPL,38,24,0.10897707979626459
33,coex_LCL,24,13,0.10416666666666696
34,coex_CLS,39,31,0.11869313482216715
35,coex_EMC,40,32,0.16666666666666652
36,coex_CLT,44,30,0.33434343434343416
37,coex_core,46,36,-0.09728765648135695
38,coex_WBL,37,26,0.07858090185676403
39,co-essential,8,10,-0.15972222222222232
40,GOBP,12,16,1.2624223602484475
41,ppi,50,49,0.13910121624407346
42,reactome_copathway,21,20,0.22904483430799227
43,MP,11,17,0.9835294117647058
44,HP,33,22,0.5265866209262435
45,GI_net,21,21,0.014285714285714235
46,gene_gene_on_CbG_name_mapped,8,8,0.125
47,gene_gene_on_GcG_name_mapped,30,29,-0.08503798947983632
48,GOMF,2,8,
