,Layer,Myositis_disease nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,42,40,0.16977351916376304
1,coex_BST,23,31,0.30863331774972735
2,coex_OVR,31,36,-0.04138581287112819
3,coex_LNG,38,37,0.2940256045519205
4,coex_ITI,42,40,0.2479072568503462
5,coex_VGN,30,33,0.06519027876091288
6,coex_HRV,22,24,0.384469696969697
7,coex_MSG,38,40,0.2442645074224019
8,coex_ADV,30,28,0.22639573070607533
9,coex_EMS,29,30,0.13273913890512357
10,coex_SMU,30,30,0.33333333333333326
11,coex_ARG,29,28,0.1061922046495547
12,coex_TST,35,36,0.028071083505865957
13,coex_PIT,31,32,0.049211149513568975
14,coex_LVR,36,35,0.13502415458937178
15,coex_THY,34,31,0.32540435529050304
16,coex_PNC,29,29,0.21293535563045518
17,coex_ATC,36,36,0.08333333333333348
18,coex_BRO,30,36,0.23749999999999982
19,coex_SKN,31,35,0.24700460829493087
20,coex_ADS,31,33,0.6818181818181817
21,coex_GEJ,34,32,0.4672967450007297
22,coex_BRB,22,27,0.8196763553906412
23,coex_UTR,29,21,0.31079027355623134
24,coex_STM,38,37,0.054054054054053946
25,coex_HRA,26,32,0.3678713527851458
26,coex_PRS,25,33,0.07859979101358405
27,coex_ATA,31,30,0.22115910333515565
28,coex_FIB,22,26,-0.13155594405594417
29,coex_BRC,25,34,0.05334995014955135
30,coex_ATT,31,32,0.12479342940243265
31,coex_TNV,19,21,0.010357624831309309
32,coex_SPL,40,36,-0.016959064327485285
33,coex_LCL,28,24,-0.034977703455964404
34,coex_CLS,36,32,0.36989379084967333
35,coex_EMC,35,30,0.0060439560439562445
36,coex_CLT,40,34,0.1724789915966385
37,coex_core,40,39,0.238259109311741
38,coex_WBL,38,34,0.09782421740626068
39,co-essential,7,6,0.15934065934065922
40,GOBP,20,24,2.3684210526315796
41,ppi,49,50,0.2027849927849925
42,reactome_copathway,24,12,0.8658216783216783
43,MP,12,14,0.8407097288676235
44,HP,28,27,0.376984126984127
45,GI_net,17,13,0.03227752639517334
46,gene_gene_on_CbG_name_mapped,9,11,0.23383838383838396
47,gene_gene_on_GcG_name_mapped,26,30,-0.0004578754578756783
48,GOMF,7,7,
