,Layer,Wilson_disease nodes,Rheumatoid_arthritis nodes,sAB
0,coex_KDN,45,43,0.1980326521024196
1,coex_BST,25,22,0.1700428194993413
2,coex_OVR,32,30,0.20747126436781604
3,coex_LNG,40,41,0.5102732793522269
4,coex_ITI,41,40,0.7638055034396496
5,coex_VGN,34,40,0.2918339600195443
6,coex_HRV,20,29,0.278448275862069
7,coex_MSG,39,36,0.10931623931623924
8,coex_ADV,32,27,0.4258650097465888
9,coex_EMS,30,28,-0.0023809523809523725
10,coex_SMU,31,31,0.17741935483870974
11,coex_ARG,29,27,0.08971545695683636
12,coex_TST,37,34,0.11710965314942112
13,coex_PIT,37,34,-0.06986833560984351
14,coex_LVR,39,32,0.11219690635451518
15,coex_THY,29,36,0.8882047071702246
16,coex_PNC,34,34,0.08823529411764675
17,coex_ATC,29,39,0.16872513262599487
18,coex_BRO,38,35,0.2783891033891033
19,coex_SKN,31,30,0.008991472005932755
20,coex_ADS,26,35,0.4633669609079445
21,coex_GEJ,32,29,0.1985539488320356
22,coex_BRB,29,28,0.1268905021173623
23,coex_UTR,25,18,0.24352303523035213
24,coex_STM,38,35,0.5117571325574211
25,coex_HRA,32,29,0.36322352216748754
26,coex_PRS,36,28,0.3988095238095237
27,coex_ATA,32,39,0.418314373420007
28,coex_FIB,33,18,0.07650029708853223
29,coex_BRC,32,26,0.17477619363395203
30,coex_ATT,31,37,0.45886968562490393
31,coex_TNV,21,23,0.31610212335692633
32,coex_SPL,32,40,0.47743055555555536
33,coex_LCL,19,23,0.2040404040404038
34,coex_CLS,37,32,0.21824576442113774
35,coex_EMC,34,34,0.4117647058823528
36,coex_CLT,37,35,0.5925139425139427
37,coex_core,39,43,0.556350626118068
38,coex_WBL,28,44,0.31186868686868685
39,co-essential,9,10,0.03918128654970765
40,GOBP,22,7,2.570048309178744
41,ppi,49,50,0.20054421768707487
42,reactome_copathway,20,26,0.641025641025641
43,MP,16,12,2.548809523809524
44,HP,18,24,0.19047619047619047
45,GI_net,21,19,-0.023144399460189202
46,gene_gene_on_CbG_name_mapped,18,9,0.0185185185185186
47,gene_gene_on_GcG_name_mapped,27,34,-0.08065466623807982
48,GOMF,8,8,
