,Layer,myoclonic_epilepsy nodes,West_syndrome nodes,sAB
0,coex_KDN,42,46,-0.17436006022962558
1,coex_BST,34,37,-0.05110891523935002
2,coex_OVR,35,38,-0.1480585024204346
3,coex_LNG,41,38,0.005748200386734181
4,coex_ITI,39,40,-8.519961051622893e-05
5,coex_VGN,38,40,-0.15393049932523617
6,coex_HRV,14,23,-0.29329004329004293
7,coex_MSG,37,42,-0.2745914992750438
8,coex_ADV,35,35,-0.17142857142857126
9,coex_EMS,36,40,-0.026752136752136835
10,coex_SMU,36,39,-0.14837606837606843
11,coex_ARG,38,40,-0.06352901484480422
12,coex_TST,45,44,-0.1682300533424128
13,coex_PIT,41,43,-0.08365745617589071
14,coex_LVR,34,38,-0.14086687306501555
15,coex_THY,34,37,-0.2572829664793206
16,coex_PNC,36,37,-0.05440886091571029
17,coex_ATC,38,39,-0.10300226089699782
18,coex_BRO,46,42,0.11531165311653124
19,coex_SKN,36,41,-0.05662020905923337
20,coex_ADS,31,21,0.3833278472679398
21,coex_GEJ,36,36,-0.18055555555555558
22,coex_BRB,25,20,0.1722222222222225
23,coex_UTR,33,34,-0.14786362306116474
24,coex_STM,38,39,-0.27202621939464033
25,coex_HRA,35,38,-0.012138222267998655
26,coex_PRS,33,36,-0.22408871321914803
27,coex_ATA,36,38,-0.1792516200410934
28,coex_FIB,32,35,-0.16433901918976557
29,coex_BRC,40,42,-0.05833333333333357
30,coex_ATT,36,38,0.3496127706654022
31,coex_TNV,22,16,0.36436688311688314
32,coex_SPL,36,43,-0.10350636182252337
33,coex_LCL,25,27,-0.045925925925925926
34,coex_CLS,38,38,-0.2894736842105263
35,coex_EMC,36,35,-0.055466130114017576
36,coex_CLT,36,38,-0.09315236288920503
37,coex_core,39,39,-0.08974358974358987
38,coex_WBL,30,36,0.03434343434343434
39,co-essential,7,11,0.06277056277056259
40,GOBP,19,22,1.2810023310023304
41,ppi,49,49,-0.15306122448979598
42,reactome_copathway,12,18,0.6025883838383839
43,MP,11,5,1.0857142857142854
44,HP,27,34,-0.1426033072609736
45,GI_net,16,20,-0.44166666666666643
46,gene_gene_on_CbG_name_mapped,8,12,0.02083333333333348
47,gene_gene_on_GcG_name_mapped,41,33,-0.28128849470312867
48,GOMF,8,4,
