,Layer,Intermittent_claudication nodes,Kidney_damage nodes,sAB
0,coex_KDN,44,46,0.3959705753184013
1,coex_BST,33,35,0.42526101349630774
2,coex_OVR,37,37,0.10810810810810789
3,coex_LNG,41,41,0.35698208370972595
4,coex_ITI,39,43,0.23167822912576175
5,coex_VGN,38,39,0.41279352226720634
6,coex_HRV,25,24,0.7093840579710142
7,coex_MSG,39,44,0.31507849580138747
8,coex_ADV,33,30,0.6011544011544012
9,coex_EMS,36,34,0.5341377576671693
10,coex_SMU,32,35,0.18775319829424286
11,coex_ARG,38,36,0.23399872921740972
12,coex_TST,38,43,0.13166583556220446
13,coex_PIT,39,43,0.3328800036266377
14,coex_LVR,43,25,0.1839671682626538
15,coex_THY,35,40,0.6300000000000003
16,coex_PNC,38,32,0.5591870300751878
17,coex_ATC,37,38,0.5973731626363206
18,coex_BRO,38,42,0.6823308270676693
19,coex_SKN,38,40,0.5540057915057914
20,coex_ADS,32,30,0.802205212320029
21,coex_GEJ,35,33,0.6592182327476446
22,coex_BRB,25,32,0.766025641025641
23,coex_UTR,33,32,0.42957459207459214
24,coex_STM,38,39,0.4024659550975338
25,coex_HRA,37,36,0.3674290487670768
26,coex_PRS,37,32,0.2685076380728555
27,coex_ATA,37,32,0.4719692518605565
28,coex_FIB,36,28,-0.05629960317460325
29,coex_BRC,40,37,0.23805721305721272
30,coex_ATT,37,36,0.5494672754946728
31,coex_TNV,22,29,1.4489635979783766
32,coex_SPL,40,33,0.2871212121212121
33,coex_LCL,33,18,0.4006238859180038
34,coex_CLS,38,37,0.4335585585585584
35,coex_EMC,37,39,0.45173614910457016
36,coex_CLT,38,39,0.41361708466971603
37,coex_core,42,42,0.6000000000000001
38,coex_WBL,39,17,0.22592113768584365
39,co-essential,16,4,0.2708333333333335
40,GOBP,15,25,0.9665750915750921
41,ppi,49,48,0.1944210673960307
42,reactome_copathway,21,13,1.2546037296037293
43,MP,17,22,-0.23851638557520927
44,HP,17,21,0.8683473389355743
45,GI_net,27,14,0.47277068008775336
46,gene_gene_on_CbG_name_mapped,13,4,0.2415158371040722
47,gene_gene_on_GcG_name_mapped,37,34,0.06682863476566858
48,GOMF,6,4,
