,Layer,Cholecystitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,37,41,0.15771681625340173
1,coex_BST,37,17,0.20544073485249914
2,coex_OVR,33,20,0.14391080617495744
3,coex_LNG,37,30,0.4654748792679828
4,coex_ITI,39,36,0.22525641025641052
5,coex_VGN,33,29,0.20651157674751164
6,coex_HRV,22,20,-0.03288014937565631
7,coex_MSG,40,28,-0.055519480519480524
8,coex_ADV,29,24,0.6805506685432796
9,coex_EMS,30,22,0.14172494172494154
10,coex_SMU,31,22,0.07559619321640021
11,coex_ARG,28,18,0.2102311939268462
12,coex_TST,36,28,0.024553571428571397
13,coex_PIT,36,26,0.11258148631029985
14,coex_LVR,42,32,-0.08992921492921502
15,coex_THY,32,30,0.4386040842283774
16,coex_PNC,36,22,0.01177944862155389
17,coex_ATC,34,24,0.41211484593837566
18,coex_BRO,37,24,0.19792143838754028
19,coex_SKN,36,28,0.11111111111111116
20,coex_ADS,29,22,0.15589464625975724
21,coex_GEJ,34,23,0.3147107079090863
22,coex_BRB,23,17,0.42842330821870434
23,coex_UTR,26,20,0.4198160535117057
24,coex_STM,34,30,0.25649509803921555
25,coex_HRA,36,27,0.28380952380952396
26,coex_PRS,36,26,0.21645299145299157
27,coex_ATA,34,24,0.3484848484848482
28,coex_FIB,29,21,0.13697865353037764
29,coex_BRC,34,22,0.2245494157258865
30,coex_ATT,34,28,0.1372790495508549
31,coex_TNV,23,19,-0.17300735208308993
32,coex_SPL,34,35,0.10171111923030085
33,coex_LCL,23,20,0.09105101920584424
34,coex_CLS,37,29,-0.02357583876980418
35,coex_EMC,36,30,0.4292114695340503
36,coex_CLT,36,32,0.32244318181818166
37,coex_core,37,37,0.34991809991809997
38,coex_WBL,33,33,0.48484848484848486
39,co-essential,12,2,-0.29166666666666696
40,GOBP,24,18,1.1979166666666665
41,ppi,49,50,0.17084518655947223
42,reactome_copathway,16,19,0.2286751361161523
43,MP,17,22,0.2735872235872234
44,HP,23,27,0.4433494363929147
45,GI_net,22,25,0.19471861471861462
46,gene_gene_on_CbG_name_mapped,14,12,-0.2880036630036631
47,gene_gene_on_GcG_name_mapped,31,33,-0.06534090909090917
48,GOMF,9,8,
