,Layer,myoclonic_epilepsy nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,42,41,0.14544134727061575
1,coex_BST,34,28,0.21702682563338294
2,coex_OVR,35,32,0.43708791208791187
3,coex_LNG,41,38,0.37433580864789295
4,coex_ITI,39,39,0.2564102564102564
5,coex_VGN,38,33,0.3000876069816023
6,coex_HRV,14,28,0.48214285714285676
7,coex_MSG,37,42,0.3091939136242934
8,coex_ADV,35,28,0.43253968253968234
9,coex_EMS,36,25,0.2592167577413478
10,coex_SMU,36,30,0.09444444444444455
11,coex_ARG,38,29,0.19736842105263142
12,coex_TST,45,35,0.26468253968253963
13,coex_PIT,41,38,0.2627936023314714
14,coex_LVR,34,37,0.21182180523522676
15,coex_THY,34,32,0.484820632798574
16,coex_PNC,36,33,0.3466732542819497
17,coex_ATC,38,34,0.32370632463511706
18,coex_BRO,46,32,0.4801388888888889
19,coex_SKN,36,34,0.3945378151260506
20,coex_ADS,31,27,0.8126173408431474
21,coex_GEJ,36,28,0.21591535704438902
22,coex_BRB,25,27,0.7542735042735043
23,coex_UTR,33,22,0.23809523809523814
24,coex_STM,38,41,0.22952990689134056
25,coex_HRA,35,33,0.4695741758241756
26,coex_PRS,33,30,0.07611832611832581
27,coex_ATA,36,29,0.26634983790156186
28,coex_FIB,32,30,0.14399473991817646
29,coex_BRC,40,33,0.13526785714285694
30,coex_ATT,36,31,0.5726053639846747
31,coex_TNV,22,23,1.2344789356984478
32,coex_SPL,36,28,0.20882936507936511
33,coex_LCL,25,20,0.39453488372092993
34,coex_CLS,38,32,0.49086513619251537
35,coex_EMC,36,34,0.2562189054726365
36,coex_CLT,36,36,0.11111111111111116
37,coex_core,39,40,0.42051282051282035
38,coex_WBL,30,35,0.455860805860806
39,co-essential,7,15,1.4515406162464988
40,GOBP,19,14,1.5030303030303034
41,ppi,49,50,0.14899814471243045
42,reactome_copathway,12,28,1.1372496898812687
43,MP,11,16,0.9874999999999998
44,HP,27,22,0.606490070775785
45,GI_net,16,25,0.03134146341463406
46,gene_gene_on_CbG_name_mapped,8,12,0.34583333333333344
47,gene_gene_on_GcG_name_mapped,41,39,-0.03439649781113174
48,GOMF,8,4,
