,Layer,Rosacea nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,35,36,0.052077497665733
1,coex_BST,18,18,0.2777777777777777
2,coex_OVR,27,29,-0.16105098605098656
3,coex_LNG,28,25,0.10845238095238097
4,coex_ITI,33,34,0.30151382126799176
5,coex_VGN,28,29,0.04830839297332479
6,coex_HRV,25,31,0.0531660692951017
7,coex_MSG,38,33,-0.07926747085383123
8,coex_ADV,18,19,0.02161371898213993
9,coex_EMS,19,20,0.15091093117408905
10,coex_SMU,20,20,0.1499999999999999
11,coex_ARG,22,23,-0.047013614404919135
12,coex_TST,30,30,-0.2666666666666666
13,coex_PIT,29,33,-0.038544510735834425
14,coex_LVR,25,34,0.12016949152542367
15,coex_THY,28,22,0.3216991341991342
16,coex_PNC,21,25,-0.01813664596273301
17,coex_ATC,32,16,-0.030555555555555447
18,coex_BRO,29,35,0.0771551724137931
19,coex_SKN,29,28,-0.15951403833641908
20,coex_ADS,27,25,0.04028490028489973
21,coex_GEJ,30,20,0.19666666666666632
22,coex_BRB,26,33,-0.09485006518904826
23,coex_UTR,15,17,0.1672619047619044
24,coex_STM,29,35,0.13448597829936615
25,coex_HRA,23,27,0.37058528547890246
26,coex_PRS,26,23,0.24684358194996525
27,coex_ATA,27,22,-0.059369202226344786
28,coex_FIB,17,16,0.17748478701825565
29,coex_BRC,14,32,-0.20419254658385078
30,coex_ATT,29,24,-0.18426524214701545
31,coex_TNV,27,24,-0.12105119825708055
32,coex_SPL,27,23,0.22220504363361515
33,coex_LCL,16,15,-0.03571428571428559
34,coex_CLS,30,32,0.10369179816871243
35,coex_EMC,31,27,0.3142601126472093
36,coex_CLT,31,30,-0.07535343278919004
37,coex_core,35,36,0.3644409937888198
38,coex_WBL,28,27,0.6376659678546472
39,co-essential,6,5,-1.2166666666666668
40,GOBP,23,14,0.4791208791208792
41,ppi,48,50,-0.052551020408163396
42,reactome_copathway,18,21,-0.7866421568627451
43,MP,13,10,0.8224553224553226
44,HP,18,20,0.07631578947368411
45,GI_net,9,13,-0.5221445221445218
46,gene_gene_on_CbG_name_mapped,11,23,-0.12311090444082784
47,gene_gene_on_GcG_name_mapped,29,37,-0.10589115761529544
48,GOMF,6,3,
