,Layer,Familial_multiple_polyposis_syndrome nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,41,48,0.02140151515151545
1,coex_BST,28,40,0.32499999999999996
2,coex_OVR,32,45,0.1694444444444443
3,coex_LNG,38,43,0.19274068029677993
4,coex_ITI,39,47,0.19070274933708875
5,coex_VGN,33,46,0.2536273577825585
6,coex_HRV,28,16,0.43952922077922096
7,coex_MSG,42,44,0.12804540420819488
8,coex_ADV,28,44,0.5003607503607501
9,coex_EMS,25,41,0.008269230769230695
10,coex_SMU,30,38,0.1392344497607656
11,coex_ARG,29,39,0.2198340874811464
12,coex_TST,35,46,0.21434705927459552
13,coex_PIT,38,40,0.2397747747747747
14,coex_LVR,37,38,0.333385490753912
15,coex_THY,32,39,0.3947216955579633
16,coex_PNC,33,39,0.16044432464002512
17,coex_ATC,34,43,0.25269381406592584
18,coex_BRO,32,41,0.408630554627464
19,coex_SKN,34,44,0.22956945015768548
20,coex_ADS,27,26,0.46296296296296324
21,coex_GEJ,28,42,0.22086767399267382
22,coex_BRB,27,22,0.6973995271867612
23,coex_UTR,22,40,0.16985753317720542
24,coex_STM,41,41,0.2073170731707319
25,coex_HRA,33,39,0.24926839464882944
26,coex_PRS,30,44,0.00793650793650813
27,coex_ATA,29,32,0.34384501297738224
28,coex_FIB,30,38,0.20261533084808958
29,coex_BRC,33,38,0.2847039473684212
30,coex_ATT,31,41,0.5536455974639325
31,coex_TNV,23,15,0.41023682200152756
32,coex_SPL,28,43,0.13778016938842352
33,coex_LCL,20,37,0.194013750592698
34,coex_CLS,32,41,0.32623889668069217
35,coex_EMC,34,43,0.1935889377749842
36,coex_CLT,36,43,0.1540247931181109
37,coex_core,40,45,0.44575163398692785
38,coex_WBL,35,33,0.3717596129360836
39,co-essential,15,16,0.9958333333333331
40,GOBP,14,15,1.6601398601398598
41,ppi,50,50,0.1100000000000001
42,reactome_copathway,28,15,0.8092592592592593
43,MP,16,9,0.8052536231884062
44,HP,22,29,0.40262155018747303
45,GI_net,25,26,-0.09218702865761697
46,gene_gene_on_CbG_name_mapped,12,2,0.04761904761904767
47,gene_gene_on_GcG_name_mapped,39,38,-0.0759985628406683
48,GOMF,4,6,
