,Layer,Arthralgia nodes,Myalgia nodes,sAB
0,coex_KDN,42,39,-0.05808270676691718
1,coex_BST,27,20,0.05892434988179707
2,coex_OVR,38,29,-0.14029444429395665
3,coex_LNG,45,37,0.2041630671767658
4,coex_ITI,41,33,-0.0889358108108107
5,coex_VGN,34,33,0.045454545454545414
6,coex_HRV,35,30,0.4900656814449915
7,coex_MSG,46,37,0.04043789730012892
8,coex_ADV,39,31,0.030598857848433525
9,coex_EMS,35,27,-0.16322751322751294
10,coex_SMU,31,27,0.020125242038478763
11,coex_ARG,38,29,-0.08276144483041015
12,coex_TST,37,34,-0.25431044134440994
13,coex_PIT,42,31,-0.08915156871409646
14,coex_LVR,45,30,-0.019082125603864686
15,coex_THY,36,26,-0.2036118003859939
16,coex_PNC,37,28,-0.04254529254529271
17,coex_ATC,42,33,-0.06332274624957535
18,coex_BRO,40,26,0.015734265734265618
19,coex_SKN,35,30,-0.1320512820512818
20,coex_ADS,36,27,-0.1593691148775891
21,coex_GEJ,38,31,-0.07263209343005617
22,coex_BRB,34,20,-0.13366013071895422
23,coex_UTR,26,24,0.01803191489361744
24,coex_STM,39,32,-0.14473298122065748
25,coex_HRA,39,28,-0.023795855885408113
26,coex_PRS,35,31,0.06276455991826024
27,coex_ATA,38,27,-0.3439871045134204
28,coex_FIB,28,22,0.02220779220779212
29,coex_BRC,33,23,-0.29936006022962514
30,coex_ATT,36,31,-0.25918124431605394
31,coex_TNV,26,19,0.17463414634146313
32,coex_SPL,36,35,0.45058126536999765
33,coex_LCL,25,17,0.20205882352941185
34,coex_CLS,35,31,0.18248847926267286
35,coex_EMC,38,31,-0.057142133137369155
36,coex_CLT,36,32,0.03424873737373724
37,coex_core,45,40,0.10465893108298174
38,coex_WBL,43,31,0.131274131274131
39,co-essential,9,4,0.32051282051282115
40,GOBP,15,27,1.1915453915453913
41,ppi,49,48,0.061910460060312866
42,reactome_copathway,19,20,0.7766060371517027
43,MP,12,8,0.958333333333333
44,HP,28,41,0.31910569105691056
45,GI_net,22,17,0.183257918552036
46,gene_gene_on_CbG_name_mapped,10,10,0.2999999999999998
47,gene_gene_on_GcG_name_mapped,31,35,-0.13949169110459425
48,GOMF,4,8,
