,Layer,Primary_dilated_cardiomyopathy nodes,Crohn_disease nodes,sAB
0,coex_KDN,31,38,0.32245657568238206
1,coex_BST,21,27,0.4854687223108276
2,coex_OVR,24,30,0.15601851851851833
3,coex_LNG,25,34,0.15454545454545432
4,coex_ITI,27,38,0.2906582696056381
5,coex_VGN,28,32,0.2925324675324674
6,coex_HRV,40,25,2.018293650793651
7,coex_MSG,44,36,0.5104797979797979
8,coex_ADV,20,24,0.4329545454545456
9,coex_EMS,34,26,0.7227544045441419
10,coex_SMU,36,28,0.5642361111111112
11,coex_ARG,21,28,0.5499999999999998
12,coex_TST,30,31,-0.29801692226335263
13,coex_PIT,26,30,-0.004670329670329654
14,coex_LVR,18,34,0.23730517848164911
15,coex_THY,31,31,0.8098833218943033
16,coex_PNC,16,28,0.06511627906976747
17,coex_ATC,38,31,1.1509128712384045
18,coex_BRO,27,32,0.058625627746390574
19,coex_SKN,24,30,0.3353122966818476
20,coex_ADS,21,28,0.7428571428571429
21,coex_GEJ,24,27,0.8379629629629628
22,coex_BRB,21,22,0.34770462096043486
23,coex_UTR,22,19,0.4917434939899632
24,coex_STM,29,35,0.3570197044334975
25,coex_HRA,43,29,1.2739298955173575
26,coex_PRS,43,26,0.6582406471183013
27,coex_ATA,19,34,0.10481044453531174
28,coex_FIB,17,16,0.27551247771835996
29,coex_BRC,30,25,-0.06333333333333302
30,coex_ATT,29,29,0.546419098143236
31,coex_TNV,26,22,0.45979020979020957
32,coex_SPL,23,35,0.2352752195330905
33,coex_LCL,24,21,0.5090686274509806
34,coex_CLS,28,28,0.16708994708994718
35,coex_EMC,19,30,0.5051325121313925
36,coex_CLT,24,33,0.4947916666666665
37,coex_core,41,36,1.012376099788395
38,coex_WBL,34,37,1.0898251192368837
39,co-essential,11,9,1.2272727272727275
40,GOBP,23,21,1.8455741626794255
41,ppi,49,50,0.30452690166975893
42,reactome_copathway,17,24,0.7657715260017048
43,MP,25,13,1.856437246963563
44,HP,38,21,0.6690773544029565
45,GI_net,17,18,0.13799762329174126
46,gene_gene_on_CbG_name_mapped,11,15,0.16177156177156182
47,gene_gene_on_GcG_name_mapped,27,31,0.05349565360688824
48,GOMF,2,8,
