,Layer,Pityriasis_rubra_pilaris nodes,Ichthyosis nodes,sAB
0,coex_KDN,37,33,0.1904176904176904
1,coex_BST,28,28,0.16103896103896087
2,coex_OVR,32,44,0.09666566985645941
3,coex_LNG,32,31,0.6967405913978495
4,coex_ITI,31,30,0.22936717786003857
5,coex_VGN,30,48,0.12564102564102564
6,coex_HRV,16,11,0.43045033670033694
7,coex_MSG,36,48,-0.06398809523809534
8,coex_ADV,33,24,0.38194444444444464
9,coex_EMS,28,35,0.11269841269841274
10,coex_SMU,22,31,0.4053030303030305
11,coex_ARG,29,30,-0.0009074410163338875
12,coex_TST,33,33,0.24242424242424243
13,coex_PIT,31,30,0.015891062929667132
14,coex_LVR,31,26,0.4303251926341909
15,coex_THY,28,26,0.7755392755392752
16,coex_PNC,30,26,0.4342490842490845
17,coex_ATC,32,29,0.13377084511023174
18,coex_BRO,33,25,0.41524764150943394
19,coex_SKN,33,48,0.2638187429854095
20,coex_ADS,29,36,0.7986607142857141
21,coex_GEJ,33,39,0.184981684981685
22,coex_BRB,28,11,0.6686995436995438
23,coex_UTR,26,27,0.18987766046589538
24,coex_STM,34,30,0.2973039215686275
25,coex_HRA,30,30,0.1499999999999999
26,coex_PRS,31,32,0.3616391449052738
27,coex_ATA,28,25,0.46085164835164827
28,coex_FIB,27,29,0.29518783585146635
29,coex_BRC,28,28,0.267857142857143
30,coex_ATT,28,28,0.43849206349206327
31,coex_TNV,17,23,0.37333049161693665
32,coex_SPL,30,27,0.23313840155945442
33,coex_LCL,23,23,0.4090909090909087
34,coex_CLS,32,29,0.282482831677382
35,coex_EMC,30,41,0.1346058677978086
36,coex_CLT,30,30,0.15000000000000013
37,coex_core,35,41,0.28871263524665336
38,coex_WBL,31,26,0.2987353619781463
39,co-essential,9,12,0.8406432748538011
40,GOBP,18,30,2.138392857142857
41,ppi,50,50,0.26000000000000023
42,reactome_copathway,25,12,1.1708333333333334
43,MP,16,18,1.0156565656565655
44,HP,16,32,0.8125
45,GI_net,21,22,0.3864956182029351
46,gene_gene_on_CbG_name_mapped,13,5,0.3145299145299145
47,gene_gene_on_GcG_name_mapped,36,26,0.015198511166252926
48,GOMF,5,10,2.1
