,Layer,Periodontitis nodes,Meningitis nodes,sAB
0,coex_KDN,36,35,0.27142857142857135
1,coex_BST,19,12,0.2757936507936507
2,coex_OVR,20,23,0.13169868554095032
3,coex_LNG,28,31,0.3644695543000629
4,coex_ITI,28,34,0.1743697478991595
5,coex_VGN,21,29,0.5975697865353038
6,coex_HRV,25,22,0.3446969696969697
7,coex_MSG,30,28,0.1929802955665023
8,coex_ADV,27,21,0.40551839464882966
9,coex_EMS,19,19,-0.02234753550543056
10,coex_SMU,17,21,-0.20714285714285685
11,coex_ARG,17,20,-0.17277424483306847
12,coex_TST,21,24,0.05813492063492065
13,coex_PIT,24,28,0.2573260073260073
14,coex_LVR,30,30,0.08313851548801865
15,coex_THY,17,29,0.4756131292642447
16,coex_PNC,24,23,0.17391304347826098
17,coex_ATC,27,29,-0.0011631089217296608
18,coex_BRO,21,26,0.042942872730106885
19,coex_SKN,17,22,-0.15438596491228074
20,coex_ADS,20,26,0.4484265734265733
21,coex_GEJ,26,23,0.4359288537549406
22,coex_BRB,20,24,0.10984848484848486
23,coex_UTR,12,16,0.5087412587412588
24,coex_STM,27,26,0.41939472128151367
25,coex_HRA,25,16,0.0817307692307696
26,coex_PRS,18,26,0.1174365989687467
27,coex_ATA,19,26,0.09222295452405604
28,coex_FIB,14,8,0.0040584415584414835
29,coex_BRC,16,15,-0.28797043010752654
30,coex_ATT,18,27,0.17660343270099377
31,coex_TNV,18,18,-0.004715219421101757
32,coex_SPL,26,30,-0.16291208791208778
33,coex_LCL,11,20,0.33400809716599156
34,coex_CLS,18,28,-0.06970324361628721
35,coex_EMC,23,28,0.15710632078918518
36,coex_CLT,18,30,0.15163043478260896
37,coex_core,31,35,0.18608058608058609
38,coex_WBL,28,36,0.09722222222222232
39,co-essential,10,1,
40,GOBP,17,24,1.0615763546798025
41,ppi,49,50,0.19147392290249443
42,reactome_copathway,29,19,0.7757936507936507
43,MP,15,14,1.462494027711419
44,HP,13,33,0.006182223573527823
45,GI_net,21,19,-0.23099415204678353
46,gene_gene_on_CbG_name_mapped,25,9,0.3698039215686275
47,gene_gene_on_GcG_name_mapped,30,27,-0.2573099415204678
48,GOMF,2,7,
