,Layer,Neoplasm_of_the_skin nodes,Hemorrhagic_disease nodes,sAB
0,coex_KDN,44,40,0.13571428571428568
1,coex_BST,33,31,0.2335196725317692
2,coex_OVR,33,32,0.234375
3,coex_LNG,38,37,0.3345803698435277
4,coex_ITI,40,34,-0.054928457869634295
5,coex_VGN,35,37,0.010135135135135087
6,coex_HRV,29,17,0.03330220977279774
7,coex_MSG,44,42,0.08505738447598898
8,coex_ADV,32,32,0.359375
9,coex_EMS,34,32,0.39382798573975064
10,coex_SMU,30,33,0.14242424242424256
11,coex_ARG,32,30,0.3247126436781609
12,coex_TST,38,40,0.16698717948717956
13,coex_PIT,29,38,0.0969356414909952
14,coex_LVR,32,44,0.1660436602870814
15,coex_THY,33,34,0.3735400537419853
16,coex_PNC,31,36,0.17374551971326158
17,coex_ATC,38,38,0.3058759913482336
18,coex_BRO,37,35,0.16939414263357966
19,coex_SKN,38,38,0.35860597439544817
20,coex_ADS,36,28,0.721283495477044
21,coex_GEJ,34,32,-0.03132284382284389
22,coex_BRB,29,20,0.05295566502463034
23,coex_UTR,30,28,0.053065134099616884
24,coex_STM,36,40,0.24663742690058488
25,coex_HRA,32,30,0.2617651215375918
26,coex_PRS,33,34,0.13277196903184607
27,coex_ATA,31,36,0.6016651930445036
28,coex_FIB,29,30,0.19555353901996364
29,coex_BRC,34,35,0.17608804715916238
30,coex_ATT,33,40,0.25947580645161317
31,coex_TNV,28,25,0.6647978959025469
32,coex_SPL,32,45,0.1117334054834056
33,coex_LCL,24,22,0.2870663153271851
34,coex_CLS,32,37,0.20430776226394887
35,coex_EMC,31,41,0.2667334061400317
36,coex_CLT,33,37,-0.05167939678809241
37,coex_core,46,38,0.2880298572518254
38,coex_WBL,38,37,0.3918918918918919
39,co-essential,10,10,0.2999999999999998
40,GOBP,16,25,1.2400000000000002
41,ppi,50,50,0.17000000000000015
42,reactome_copathway,27,25,0.8990384615384617
43,MP,9,12,0.375
44,HP,24,22,0.5908267457180503
45,GI_net,24,17,0.32012195121951237
46,gene_gene_on_CbG_name_mapped,15,11,0.24195804195804183
47,gene_gene_on_GcG_name_mapped,39,32,-0.015444429396894277
48,GOMF,4,5,
