,Layer,Primary_dilated_cardiomyopathy nodes,Immunodeficiency nodes,sAB
0,coex_KDN,31,41,0.15932336742722275
1,coex_BST,21,22,0.18584637268847803
2,coex_OVR,24,30,0.17654792886575565
3,coex_LNG,25,34,0.1688434695912262
4,coex_ITI,27,35,0.32464584400068275
5,coex_VGN,28,31,0.027073732718894128
6,coex_HRV,40,21,0.7108252623083131
7,coex_MSG,44,35,0.4396062797961533
8,coex_ADV,20,27,0.6712371946414502
9,coex_EMS,34,25,0.7879283887468027
10,coex_SMU,36,30,0.7308080808080808
11,coex_ARG,21,24,0.7136904761904761
12,coex_TST,30,38,0.028173374613003066
13,coex_PIT,26,36,-0.03653156878963326
14,coex_LVR,18,35,0.3627433363282422
15,coex_THY,31,34,0.6434157240608855
16,coex_PNC,16,30,0.028294573643410814
17,coex_ATC,38,35,0.9080492326707179
18,coex_BRO,27,32,0.10814893283113625
19,coex_SKN,24,34,0.1970081135902637
20,coex_ADS,21,28,0.5851190476190475
21,coex_GEJ,24,23,0.4963002114164907
22,coex_BRB,21,26,0.3287350946925418
23,coex_UTR,22,22,0.6044749823819586
24,coex_STM,29,30,0.28904149620105213
25,coex_HRA,43,26,0.555423763967748
26,coex_PRS,43,25,0.41419972640218905
27,coex_ATA,19,34,0.4108592791635024
28,coex_FIB,17,21,0.1908585055643881
29,coex_BRC,30,28,0.4587825696316261
30,coex_ATT,29,25,0.6870114942528733
31,coex_TNV,26,24,0.6054347826086954
32,coex_SPL,23,39,0.21559319595785276
33,coex_LCL,24,15,0.2255952380952384
34,coex_CLS,28,25,0.32668178382464097
35,coex_EMC,19,36,0.27645371289859866
36,coex_CLT,24,32,0.22247023809523792
37,coex_core,41,38,0.9614974242702097
38,coex_WBL,34,28,0.9921841618003133
39,co-essential,11,7,0.5367965367965364
40,GOBP,23,20,1.4807375020623659
41,ppi,49,49,0.4897959183673468
42,reactome_copathway,17,17,0.9369747899159664
43,MP,25,13,1.188421052631579
44,HP,38,38,0.618421052631579
45,GI_net,17,21,0.14845938375350132
46,gene_gene_on_CbG_name_mapped,11,7,0.10389610389610393
47,gene_gene_on_GcG_name_mapped,27,33,0.12861952861952863
48,GOMF,2,8,
