,Layer,Temporal_lobe_epilepsy nodes,Epilepsy nodes,sAB
0,coex_KDN,39,34,0.3012665550941136
1,coex_BST,24,26,0.28910256410256396
2,coex_OVR,28,18,0.27406832298136674
3,coex_LNG,26,25,0.3448979591836734
4,coex_ITI,35,30,0.07380952380952377
5,coex_VGN,27,34,0.06907389549626775
6,coex_HRV,23,10,-0.12167325428195008
7,coex_MSG,34,28,0.15803740851179193
8,coex_ADV,19,22,0.09333061033959611
9,coex_EMS,24,26,0.47256410256410275
10,coex_SMU,22,22,0.13636363636363624
11,coex_ARG,27,34,0.43910906537681393
12,coex_TST,33,35,0.29237331296154845
13,coex_PIT,32,42,-0.0284547940797939
14,coex_LVR,28,24,0.07967032967032983
15,coex_THY,26,22,0.8901515151515151
16,coex_PNC,30,27,0.45623781676413255
17,coex_ATC,32,28,0.40840517241379315
18,coex_BRO,39,49,-0.04437444739168894
19,coex_SKN,28,27,0.4691043083900226
20,coex_ADS,29,18,0.8336797913100185
21,coex_GEJ,26,29,0.4265427155798007
22,coex_BRB,29,35,-0.09242087639653573
23,coex_UTR,19,24,0.3597222222222225
24,coex_STM,34,31,0.06688074733615523
25,coex_HRA,24,27,0.5302287581699345
26,coex_PRS,23,25,0.08434782608695635
27,coex_ATA,31,21,0.3557544605931704
28,coex_FIB,17,19,0.4345545235638113
29,coex_BRC,31,46,-0.12329593267882188
30,coex_ATT,30,24,0.6210008203445447
31,coex_TNV,27,21,0.6443602693602695
32,coex_SPL,26,21,-0.02295222507988459
33,coex_LCL,15,16,0.1291208791208791
34,coex_CLS,29,28,0.3149792584910551
35,coex_EMC,27,24,0.20098039215686292
36,coex_CLT,31,30,0.180407191961925
37,coex_core,37,28,0.2822286572286572
38,coex_WBL,24,23,0.20217391304347831
39,co-essential,6,5,0.3333333333333335
40,GOBP,18,28,0.3774014656367597
41,ppi,50,50,-0.040000000000000036
42,reactome_copathway,18,13,0.18212669683257943
43,MP,12,13,-0.09401913875598078
44,HP,12,31,0.34639909977494376
45,GI_net,16,17,-0.15903520499108748
46,gene_gene_on_CbG_name_mapped,26,15,-0.12808005003126954
47,gene_gene_on_GcG_name_mapped,29,38,-0.2524717609773275
48,GOMF,5,4,
