,Layer,Huntington_disease nodes,West_syndrome nodes,sAB
0,coex_KDN,41,46,0.049746468229299845
1,coex_BST,31,37,0.24325282191194564
2,coex_OVR,28,38,0.21260537707906124
3,coex_LNG,34,38,0.3897918816649468
4,coex_ITI,40,40,0.1625000000000001
5,coex_VGN,30,40,0.19940476190476208
6,coex_HRV,22,23,0.21320346320346317
7,coex_MSG,39,42,0.2454551621218286
8,coex_ADV,29,35,0.22974137931034466
9,coex_EMS,35,40,0.6958518958518956
10,coex_SMU,25,39,0.2599969474969477
11,coex_ARG,32,40,0.034375000000000044
12,coex_TST,31,44,0.139496578690127
13,coex_PIT,32,43,-0.003444767441860508
14,coex_LVR,32,38,0.05582430340557254
15,coex_THY,32,37,0.4038115038115042
16,coex_PNC,28,37,0.09950252450252473
17,coex_ATC,31,39,0.304515050167224
18,coex_BRO,35,42,0.17328993214744193
19,coex_SKN,36,41,0.1633237685318032
20,coex_ADS,29,21,0.4928571428571429
21,coex_GEJ,37,36,0.4543650793650795
22,coex_BRB,23,20,0.08447927199191074
23,coex_UTR,26,34,0.35686274509803906
24,coex_STM,33,39,0.29749417249417265
25,coex_HRA,31,38,0.29342233883829794
26,coex_PRS,27,36,0.1996829335539012
27,coex_ATA,30,38,0.7432221136395367
28,coex_FIB,26,35,-0.026851017834624402
29,coex_BRC,33,42,0.24060606060606027
30,coex_ATT,31,38,0.4763969882630845
31,coex_TNV,25,16,0.9638141025641027
32,coex_SPL,28,43,0.1348322493098124
33,coex_LCL,25,27,0.13572373393801973
34,coex_CLS,35,38,0.26948003812347765
35,coex_EMC,33,35,0.29987267634326464
36,coex_CLT,34,38,0.16441300880660137
37,coex_core,38,39,0.1937301674143781
38,coex_WBL,33,36,0.25483091787439616
39,co-essential,10,11,0.015151515151515138
40,GOBP,12,22,0.6486013986013983
41,ppi,50,49,0.16144506287363436
42,reactome_copathway,15,18,0.8070690883190883
43,MP,16,5,1.90625
44,HP,18,34,0.3558320764203118
45,GI_net,16,20,0.3187500000000001
46,gene_gene_on_CbG_name_mapped,11,12,0.13521080368906468
47,gene_gene_on_GcG_name_mapped,33,33,-0.045454545454545414
48,GOMF,8,4,
