,Layer,Emphysema nodes,Pneumonia nodes,sAB
0,coex_KDN,36,36,-0.3206349206349206
1,coex_BST,23,23,-0.2638339920948616
2,coex_OVR,29,28,-0.16910691479657003
3,coex_LNG,33,35,-0.01782280219780219
4,coex_ITI,30,31,-0.14801692226335272
5,coex_VGN,29,22,-0.2370129870129869
6,coex_HRV,31,31,-0.2659653224235339
7,coex_MSG,38,38,-0.17105263157894757
8,coex_ADV,21,35,-0.3773809523809524
9,coex_EMS,25,26,-0.4798273155416011
10,coex_SMU,21,23,-0.06004140786749468
11,coex_ARG,23,22,-0.2954545454545454
12,coex_TST,27,25,-0.248062678062678
13,coex_PIT,29,33,-0.15818607621886294
14,coex_LVR,40,32,0.09460206753340561
15,coex_THY,25,23,-0.13793478260869563
16,coex_PNC,27,26,-0.1473149492017416
17,coex_ATC,26,26,-0.3076923076923077
18,coex_BRO,26,35,-0.2791749234372185
19,coex_SKN,31,23,-0.10314465408805029
20,coex_ADS,27,24,-0.37493589743589784
21,coex_GEJ,24,30,-0.20890262415961813
22,coex_BRB,24,28,-0.30883699633699635
23,coex_UTR,20,17,-0.42483108108108114
24,coex_STM,35,31,0.0764278732020669
25,coex_HRA,25,25,0.1417006802721088
26,coex_PRS,23,28,-0.3710188978459097
27,coex_ATA,22,26,-0.13446969696969657
28,coex_FIB,21,26,0.29157509157509187
29,coex_BRC,24,24,0.04166666666666652
30,coex_ATT,29,24,0.011904761904762307
31,coex_TNV,23,24,-0.2594696969696968
32,coex_SPL,32,23,-0.41135128458498005
33,coex_LCL,22,16,-0.5388798701298703
34,coex_CLS,27,24,-0.03875850340136067
35,coex_EMC,32,27,-0.33812830687830675
36,coex_CLT,28,29,-0.12857920946156232
37,coex_core,33,34,-0.22715300502833435
38,coex_WBL,33,30,-0.1001008064516129
39,co-essential,7,9,0.8412698412698414
40,GOBP,17,12,1.358333333333333
41,ppi,49,50,-0.011560502989074406
42,reactome_copathway,29,25,0.31687598116169546
43,MP,13,11,0.9049450549450548
44,HP,22,12,0.0799910873440286
45,GI_net,18,22,-0.11154011154011134
46,gene_gene_on_CbG_name_mapped,15,14,-0.24794745484400638
47,gene_gene_on_GcG_name_mapped,29,29,-0.15517241379310365
48,GOMF,5,2,
