,Layer,Thyroid_tumor nodes,Goiter nodes,sAB
0,coex_KDN,42,35,0.14748762149275607
1,coex_BST,31,21,0.2666607585962426
2,coex_OVR,30,29,0.17241379310344818
3,coex_LNG,40,26,0.7643467643467643
4,coex_ITI,37,27,0.3170201451451451
5,coex_VGN,34,25,0.13441674975074802
6,coex_HRV,25,10,0.14063492063492067
7,coex_MSG,41,31,0.1678359122300903
8,coex_ADV,33,16,0.5951105442176869
9,coex_EMS,29,14,0.36688051323175586
10,coex_SMU,32,14,-0.280182453416149
11,coex_ARG,30,21,0.27142857142857135
12,coex_TST,36,18,0.18055555555555558
13,coex_PIT,37,26,0.027381777381777272
14,coex_LVR,38,19,0.43684210526315814
15,coex_THY,29,27,0.6878991060025546
16,coex_PNC,30,20,0.15666666666666673
17,coex_ATC,32,20,0.3235576923076926
18,coex_BRO,36,21,0.28981481481481497
19,coex_SKN,29,20,0.17528149190710773
20,coex_ADS,27,13,0.7744301994301996
21,coex_GEJ,31,22,0.22151515151515122
22,coex_BRB,22,15,0.30309396485867035
23,coex_UTR,25,19,0.21240310077519364
24,coex_STM,37,23,0.3434978456717588
25,coex_HRA,33,15,0.09924242424242413
26,coex_PRS,31,18,0.15210096850453758
27,coex_ATA,30,22,0.3032634032634034
28,coex_FIB,32,23,0.21206690561529284
29,coex_BRC,37,22,0.13738738738738743
30,coex_ATT,27,21,0.35185185185185164
31,coex_TNV,21,13,1.2350045787545785
32,coex_SPL,25,24,0.344965986394558
33,coex_LCL,24,22,-0.045454545454545414
34,coex_CLS,35,21,0.6297682709447412
35,coex_EMC,31,18,0.06111111111111134
36,coex_CLT,32,23,0.18934041501976284
37,coex_core,39,30,0.9292569659442727
38,coex_WBL,32,17,-0.10254726890756283
39,co-essential,18,9,1.0735294117647058
40,GOBP,11,20,0.501851851851852
41,ppi,50,41,0.21863575448941286
42,reactome_copathway,24,7,0.08333333333333348
43,MP,12,14,1.0170807453416146
44,HP,21,38,-0.0009652509652509078
45,GI_net,33,16,0.03645833333333326
46,gene_gene_on_CbG_name_mapped,15,11,0.49766899766899786
47,gene_gene_on_GcG_name_mapped,36,21,-0.00741436925647454
48,GOMF,4,2,
