,Layer,Ulcerative_colitis nodes,Ascites nodes,sAB
0,coex_KDN,39,43,-0.09773788476358858
1,coex_BST,15,33,0.1701298701298699
2,coex_OVR,26,28,0.041967654986522884
3,coex_LNG,37,29,0.28392940354147234
4,coex_ITI,38,35,-0.06355349157206769
5,coex_VGN,28,30,-0.10714285714285698
6,coex_HRV,23,23,0.5434782608695654
7,coex_MSG,39,38,-0.036639676113360276
8,coex_ADV,30,28,0.34945054945055
9,coex_EMS,22,35,0.18597402597402612
10,coex_SMU,22,25,0.12034816247582225
11,coex_ARG,21,28,0.11819727891156484
12,coex_TST,27,35,0.01094043352107854
13,coex_PIT,34,33,0.08893159536541906
14,coex_LVR,38,31,-0.020090548953027643
15,coex_THY,26,32,0.15834649221746
16,coex_PNC,29,36,0.3575800376647835
17,coex_ATC,32,37,-0.02142699764982381
18,coex_BRO,33,34,0.25767859591388986
19,coex_SKN,25,33,-0.012260765550239139
20,coex_ADS,27,29,0.8224776500638571
21,coex_GEJ,30,28,0.13755293405928581
22,coex_BRB,26,25,0.1424489795918369
23,coex_UTR,18,22,0.14400584795321647
24,coex_STM,36,34,0.16860410830999073
25,coex_HRA,27,29,0.10454296661193219
26,coex_PRS,30,29,0.33844189016602844
27,coex_ATA,32,32,0.24479166666666652
28,coex_FIB,21,22,4.440892098500626e-16
29,coex_BRC,24,29,0.1362773801778352
30,coex_ATT,23,32,0.19704545454545475
31,coex_TNV,20,24,0.6256756756756761
32,coex_SPL,33,34,0.05672562731386277
33,coex_LCL,24,25,-0.17746615087040585
34,coex_CLS,25,25,0.7400000000000002
35,coex_EMC,28,35,0.0313231850117095
36,coex_CLT,31,34,0.0890832308050411
37,coex_core,39,41,0.2343839899937461
38,coex_WBL,35,31,-0.15494505494505484
39,co-essential,7,8,-0.45892857142857135
40,GOBP,16,19,1.2861344537815125
41,ppi,49,48,-0.0008108913668558593
42,reactome_copathway,18,15,0.17708333333333326
43,MP,14,14,-0.3543123543123543
44,HP,18,26,0.40909090909090917
45,GI_net,24,17,-0.13790550545160807
46,gene_gene_on_CbG_name_mapped,10,6,0.2124999999999999
47,gene_gene_on_GcG_name_mapped,27,33,-0.20538720538720523
48,GOMF,6,11,-0.6666666666666667
