,Layer,Sinusitis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,41,42,-0.25762195121951215
1,coex_BST,21,27,0.15604395604395638
2,coex_OVR,33,29,-0.23246315350389324
3,coex_LNG,43,41,-0.06773255813953494
4,coex_ITI,39,39,-0.23076923076923084
5,coex_VGN,31,31,-0.04449388209121263
6,coex_HRV,28,26,-0.4222619047619045
7,coex_MSG,40,39,-0.17745861733203494
8,coex_ADV,31,30,-0.5634408602150538
9,coex_EMS,27,28,-0.2879148629148629
10,coex_SMU,32,26,-0.42427884615384626
11,coex_ARG,28,32,-0.30418719211822665
12,coex_TST,38,31,-0.315524962476317
13,coex_PIT,33,29,-0.16745879259783614
14,coex_LVR,35,33,-0.2874656593406595
15,coex_THY,37,33,-0.3298818298818298
16,coex_PNC,34,28,-0.3794049878015724
17,coex_ATC,38,37,-0.17567567567567566
18,coex_BRO,36,31,-0.21985502594554118
19,coex_SKN,33,29,-0.14725034852153485
20,coex_ADS,37,31,-0.4637165701681829
21,coex_GEJ,30,31,-0.47664134034677574
22,coex_BRB,28,26,-0.4148351648351647
23,coex_UTR,23,24,-0.17805383022774324
24,coex_STM,37,31,-0.40937996820349776
25,coex_HRA,23,26,-0.3184098510185467
26,coex_PRS,32,24,-0.2321428571428572
27,coex_ATA,35,30,-0.18492063492063493
28,coex_FIB,20,18,-0.2228070175438599
29,coex_BRC,25,24,-0.3061904761904759
30,coex_ATT,35,27,-0.18851339819081758
31,coex_TNV,22,23,-0.6181379007465964
32,coex_SPL,37,36,-0.05418774939322879
33,coex_LCL,21,22,-0.3737461725266602
34,coex_CLS,29,37,-0.22697751630941276
35,coex_EMC,36,33,-0.028084150326797452
36,coex_CLT,35,38,-0.36278809769521847
37,coex_core,40,42,-0.26801948051948044
38,coex_WBL,37,39,-0.4791038406827881
39,co-essential,4,5,-0.07222222222222197
40,GOBP,18,25,1.284210526315789
41,ppi,49,50,-0.00044526901669761365
42,reactome_copathway,19,18,-0.2536313903037162
43,MP,17,12,-0.20816430020283994
44,HP,28,36,0.19890873015873023
45,GI_net,19,18,-0.3251936146672989
46,gene_gene_on_CbG_name_mapped,11,14,-0.33480519480519466
47,gene_gene_on_GcG_name_mapped,28,28,-0.4285714285714286
48,GOMF,1,8,
