,Layer,Pyelonephritis nodes,Bronchiolitis nodes,sAB
0,coex_KDN,42,34,-0.08609759693351027
1,coex_BST,26,23,-0.45130434782608697
2,coex_OVR,32,25,-0.4095394736842106
3,coex_LNG,34,34,-0.45845552297165204
4,coex_ITI,35,32,-0.30270737327188924
5,coex_VGN,32,25,-0.20513739545997622
6,coex_HRV,26,27,-0.1533220448314787
7,coex_MSG,35,32,-0.3479211087420042
8,coex_ADV,31,29,-0.3053477498538866
9,coex_EMS,22,22,0.07034632034632038
10,coex_SMU,26,25,-0.38942684766214164
11,coex_ARG,21,24,-0.3660714285714286
12,coex_TST,27,30,-0.3452241715399611
13,coex_PIT,35,31,-0.351929723502304
14,coex_LVR,36,31,-0.4629206119937943
15,coex_THY,25,28,-0.30878756114605155
16,coex_PNC,29,28,-0.2812851093250368
17,coex_ATC,30,29,-0.19743991640543346
18,coex_BRO,30,32,-0.3947382337387624
19,coex_SKN,26,23,-0.33355072463768143
20,coex_ADS,24,29,-0.1129093472131859
21,coex_GEJ,29,30,0.4642857142857144
22,coex_BRB,21,26,-0.21304347826086967
23,coex_UTR,20,13,-0.39552785923753664
24,coex_STM,30,28,-0.22467159277504112
25,coex_HRA,25,26,0.06666666666666643
26,coex_PRS,29,24,-0.5011385816525702
27,coex_ATA,31,32,-0.46666666666666656
28,coex_FIB,20,19,-0.3688477951635849
29,coex_BRC,21,22,-0.021544347125742602
30,coex_ATT,30,24,0.09537037037037055
31,coex_TNV,24,24,-0.4592391304347827
32,coex_SPL,27,26,-0.34615384615384603
33,coex_LCL,14,22,-0.5642857142857145
34,coex_CLS,33,27,-0.21835404483430798
35,coex_EMC,30,24,-0.12916666666666643
36,coex_CLT,32,27,-0.12250243664717342
37,coex_core,40,36,-0.19479053810039715
38,coex_WBL,29,37,-0.37516087516087504
39,co-essential,4,7,-0.6688311688311686
40,GOBP,14,16,-0.3214285714285716
41,ppi,50,50,-0.18999999999999995
42,reactome_copathway,14,24,-0.5247584541062804
43,MP,16,13,0.2583333333333333
44,HP,13,19,0.07109507640067902
45,GI_net,23,17,-0.5329283887468028
46,gene_gene_on_CbG_name_mapped,12,14,-0.23122710622710607
47,gene_gene_on_GcG_name_mapped,32,38,-0.2427866541353383
48,GOMF,4,2,
