,Layer,Peptic_ulcer nodes,Gastroesophageal_reflux_disease nodes,sAB
0,coex_KDN,43,39,-0.11182888314671269
1,coex_BST,28,31,-0.07104377104377102
2,coex_OVR,33,29,0.2416474654377878
3,coex_LNG,40,34,0.2763497763497764
4,coex_ITI,38,37,0.0012897107633949023
5,coex_VGN,32,37,0.07662553858206023
6,coex_HRV,29,19,0.24910014397696356
7,coex_MSG,45,33,-0.1410256410256412
8,coex_ADV,35,27,0.11693121693121689
9,coex_EMS,27,29,0.23640758985586574
10,coex_SMU,28,23,-0.20186335403726696
11,coex_ARG,29,29,0.05418719211822687
12,coex_TST,34,36,0.05263772175536885
13,coex_PIT,35,34,0.028413104372183584
14,coex_LVR,43,29,0.056045620600552404
15,coex_THY,28,26,0.2240633231199265
16,coex_PNC,33,26,-0.11192762040219639
17,coex_ATC,36,29,0.16858066502463043
18,coex_BRO,35,39,-0.05341880341880323
19,coex_SKN,35,28,0.16100702576112447
20,coex_ADS,26,29,0.3113711001642039
21,coex_GEJ,29,31,0.15285034250551477
22,coex_BRB,31,26,0.039465373336340814
23,coex_UTR,25,18,0.5124269005847952
24,coex_STM,36,33,0.4325318401405358
25,coex_HRA,30,27,0.06783625730994136
26,coex_PRS,26,31,-0.18436289234251868
27,coex_ATA,33,25,0.11511857707509865
28,coex_FIB,27,22,-0.27462121212121215
29,coex_BRC,28,33,-0.03819814065715699
30,coex_ATT,33,25,0.3977129788450542
31,coex_TNV,24,20,-0.033333333333333215
32,coex_SPL,32,21,0.2814746181491463
33,coex_LCL,23,14,-0.17604617604617623
34,coex_CLS,31,35,0.048673228477371655
35,coex_EMC,34,26,0.14868394815553332
36,coex_CLT,32,33,-0.028206168831168776
37,coex_core,38,41,0.262836970474968
38,coex_WBL,38,29,0.48343920145190555
39,co-essential,5,8,0.24903846153846132
40,GOBP,12,20,0.691800356506239
41,ppi,50,49,-0.05118532261389408
42,reactome_copathway,29,19,0.4718720821661999
43,MP,13,9,-0.3253968253968256
44,HP,26,28,0.559981684981685
45,GI_net,22,21,0.1608803986710967
46,gene_gene_on_CbG_name_mapped,20,15,-0.010714285714285676
47,gene_gene_on_GcG_name_mapped,26,27,-0.040893941837337966
48,GOMF,7,4,
