,Layer,Melanoma nodes,Neoplasm_of_brain nodes,sAB
0,coex_KDN,46,43,-0.11367173742629588
1,coex_BST,46,26,-0.29148086213303603
2,coex_OVR,45,35,-0.1688492063492062
3,coex_LNG,45,36,0.011419753086419737
4,coex_ITI,45,39,-0.20653235653235646
5,coex_VGN,44,32,-0.09218002392344471
6,coex_HRV,16,28,0.08482142857142838
7,coex_MSG,47,42,-0.1655140420978336
8,coex_ADV,40,27,0.06640409065782205
9,coex_EMS,45,34,-0.16066972243442845
10,coex_SMU,45,32,-0.12954094516594505
11,coex_ARG,45,35,-0.12716662422544767
12,coex_TST,47,38,-0.11741650747645083
13,coex_PIT,47,40,-0.2097181462460258
14,coex_LVR,44,39,-0.10560072457662817
15,coex_THY,34,31,-0.13670996934754065
16,coex_PNC,44,37,-0.1299632966299633
17,coex_ATC,47,39,0.08328575597254484
18,coex_BRO,42,38,0.016572681704260628
19,coex_SKN,46,36,-0.01419818546011542
20,coex_ADS,28,29,0.46168582375478895
21,coex_GEJ,44,30,-0.06066748566748559
22,coex_BRB,21,37,0.06113256113256105
23,coex_UTR,45,25,-0.31619047619047636
24,coex_STM,45,41,0.19609882145333102
25,coex_HRA,45,39,0.11825396825396828
26,coex_PRS,44,34,-0.20977307006718782
27,coex_ATA,37,33,-0.026954325867369455
28,coex_FIB,45,33,-0.29149222488038284
29,coex_BRC,44,38,-0.074366903956121
30,coex_ATT,42,36,0.05046290893530969
31,coex_TNV,12,26,-0.1984501984501983
32,coex_SPL,44,33,-0.20401270772238522
33,coex_LCL,40,24,-0.08153036576949635
34,coex_CLS,45,40,0.05653594771241832
35,coex_EMC,45,33,-0.3697746697746698
36,coex_CLT,45,38,-0.08854012541393641
37,coex_core,45,43,-0.02040756401221544
38,coex_WBL,44,34,-0.21320346320346317
39,co-essential,27,18,0.17692307692307718
40,GOBP,11,10,0.03636363636363704
41,ppi,50,50,-0.1399999999999999
42,reactome_copathway,32,31,-0.2637894506136762
43,MP,10,12,-0.7816985645933014
44,HP,30,22,-0.22006802721088436
45,GI_net,39,27,-0.11810411810411803
46,gene_gene_on_CbG_name_mapped,14,17,-0.11724044456492266
47,gene_gene_on_GcG_name_mapped,41,31,-0.2233477576711249
48,GOMF,2,3,
