,Layer,Neoplasm_of_stomach nodes,Uterine_leiomyoma nodes,sAB
0,coex_KDN,45,45,-0.010464192486664414
1,coex_BST,35,38,0.27808219178082183
2,coex_OVR,32,34,0.1684863523573199
3,coex_LNG,45,40,0.5085784313725492
4,coex_ITI,40,43,0.0036109554497056884
5,coex_VGN,36,36,0.02777777777777768
6,coex_HRV,29,26,0.968078743433713
7,coex_MSG,44,45,0.25771762569515366
8,coex_ADV,27,30,0.5667641325536064
9,coex_EMS,31,35,0.31569700460829475
10,coex_SMU,29,32,0.16025120124364012
11,coex_ARG,29,34,0.4444846904278954
12,coex_TST,44,46,0.010320597277118981
13,coex_PIT,40,36,0.1548976608187136
14,coex_LVR,35,35,0.32857142857142874
15,coex_THY,40,38,0.29241565452091756
16,coex_PNC,35,35,0.24443429545731332
17,coex_ATC,34,38,0.4570418140212189
18,coex_BRO,37,36,0.2644787644787647
19,coex_SKN,35,40,0.019166666666666776
20,coex_ADS,38,30,0.2560224801604112
21,coex_GEJ,33,35,0.17115538379530904
22,coex_BRB,32,24,0.5617559523809521
23,coex_UTR,26,34,0.30927601809954774
24,coex_STM,42,40,0.4395470383275262
25,coex_HRA,31,33,0.25855327468230693
26,coex_PRS,30,37,0.17553448971359398
27,coex_ATA,29,35,0.4762162072290761
28,coex_FIB,35,33,0.018021561771561778
29,coex_BRC,35,34,0.1617647058823528
30,coex_ATT,31,36,0.2248810219587547
31,coex_TNV,24,26,0.4791666666666665
32,coex_SPL,35,32,-0.05270522388059695
33,coex_LCL,26,18,0.2344599844599844
34,coex_CLS,35,40,0.15592569530925715
35,coex_EMC,37,38,0.03338865180970463
36,coex_CLT,34,42,0.025136370337608627
37,coex_core,42,40,0.37261904761904785
38,coex_WBL,39,32,-0.10071889671361522
39,co-essential,17,10,0.3647058823529412
40,GOBP,10,20,0.9201680672268902
41,ppi,50,49,0.08035250463821897
42,reactome_copathway,32,23,0.2961956521739131
43,MP,12,9,1.0588235294117645
44,HP,27,21,0.12235449735449744
45,GI_net,32,19,-0.08709042827657365
46,gene_gene_on_CbG_name_mapped,17,5,0.39358288770053496
47,gene_gene_on_GcG_name_mapped,33,32,0.1086756993006992
48,GOMF,3,5,
