,Layer,Temporal_lobe_epilepsy nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,39,42,0.3362162528829198
1,coex_BST,24,34,0.4312200956937797
2,coex_OVR,28,35,0.1726190476190479
3,coex_LNG,26,41,0.3891518019657807
4,coex_ITI,35,39,0.41529304029304015
5,coex_VGN,27,38,0.25543559754086087
6,coex_HRV,23,14,0.1361423535336579
7,coex_MSG,34,37,0.1109966636064399
8,coex_ADV,19,35,0.06279587858535196
9,coex_EMS,24,36,0.338888888888889
10,coex_SMU,22,36,0.17067223963775646
11,coex_ARG,27,38,0.5875669322188848
12,coex_TST,33,45,0.26938616938616944
13,coex_PIT,32,41,0.14075029234881375
14,coex_LVR,28,34,0.21879235565193822
15,coex_THY,26,34,0.668627450980392
16,coex_PNC,30,36,0.4674242424242425
17,coex_ATC,32,38,0.24119582043343657
18,coex_BRO,39,46,0.42128413591828195
19,coex_SKN,28,36,0.4683179723502304
20,coex_ADS,29,31,0.7135706340378203
21,coex_GEJ,26,36,0.2959401709401712
22,coex_BRB,29,25,0.42656449553001274
23,coex_UTR,19,33,0.16339869281045738
24,coex_STM,34,38,0.09300825593395246
25,coex_HRA,24,35,0.49295803066989485
26,coex_PRS,23,33,0.1820534537925842
27,coex_ATA,31,36,0.3073677312362917
28,coex_FIB,17,32,0.3470888355342139
29,coex_BRC,31,40,0.12967508181393184
30,coex_ATT,30,36,0.5883838383838382
31,coex_TNV,27,22,0.8345776606646171
32,coex_SPL,26,36,0.005100634132892079
33,coex_LCL,15,25,0.5847619047619048
34,coex_CLS,29,38,0.41565538911612543
35,coex_EMC,27,36,0.21428571428571397
36,coex_CLT,31,36,0.2000949553308724
37,coex_core,37,39,0.37456687456687465
38,coex_WBL,24,30,0.31153846153846176
39,co-essential,6,7,-0.33699633699633713
40,GOBP,18,19,1.04733893557423
41,ppi,50,49,0.15031127602556182
42,reactome_copathway,18,12,0.697860962566845
43,MP,12,11,1.7625000000000002
44,HP,12,27,0.1274928774928774
45,GI_net,16,16,0.039583333333333304
46,gene_gene_on_CbG_name_mapped,26,8,0.29666289592760187
47,gene_gene_on_GcG_name_mapped,29,41,-0.06963340424479303
48,GOMF,5,8,
