,Layer,Facial_paralysis nodes,Anorexia nodes,sAB
0,coex_KDN,45,29,0.33225108225108224
1,coex_BST,35,19,0.3134284016636957
2,coex_OVR,37,20,0.13968197520829095
3,coex_LNG,43,24,0.5217661691542288
4,coex_ITI,41,30,0.030686050702871448
5,coex_VGN,42,24,0.4114583333333335
6,coex_HRV,26,20,0.3482517482517484
7,coex_MSG,44,24,0.4071969696969697
8,coex_ADV,36,19,0.8465045188729396
9,coex_EMS,41,19,0.4737506086494623
10,coex_SMU,38,14,0.25419317524580665
11,coex_ARG,39,24,0.401098901098901
12,coex_TST,42,25,0.27965884861407253
13,coex_PIT,41,27,0.11103021477975994
14,coex_LVR,36,23,0.26046016539752737
15,coex_THY,40,22,0.8195620169304383
16,coex_PNC,39,17,0.7244846656611361
17,coex_ATC,44,20,0.2732954545454547
18,coex_BRO,39,32,0.4282626850848683
19,coex_SKN,41,19,0.4135216089002993
20,coex_ADS,31,25,0.9044700460829493
21,coex_GEJ,39,23,0.6333207022862193
22,coex_BRB,30,28,0.5039632781012093
23,coex_UTR,32,12,0.018939393939394034
24,coex_STM,39,26,0.4128205128205129
25,coex_HRA,40,20,0.5916666666666668
26,coex_PRS,41,19,0.37461821079190827
27,coex_ATA,38,18,0.34659565580618246
28,coex_FIB,34,17,-0.044117647058823595
29,coex_BRC,42,21,0.3940723710515792
30,coex_ATT,42,20,0.5555891848264727
31,coex_TNV,24,21,0.7666666666666666
32,coex_SPL,37,18,0.23903903903903911
33,coex_LCL,22,14,0.5196715049656224
34,coex_CLS,41,20,0.31790757381258006
35,coex_EMC,37,19,0.22580599467391949
36,coex_CLT,39,23,0.10780379041248622
37,coex_core,45,26,0.44814195466369355
38,coex_WBL,32,23,0.5001038907069761
39,co-essential,6,8,1.7738636363636369
40,GOBP,25,13,1.5056818181818183
41,ppi,50,50,0.20000000000000018
42,reactome_copathway,14,17,0.5081699346405228
43,MP,16,13,0.49542124542124544
44,HP,34,14,0.3221592985020094
45,GI_net,20,17,0.3331932773109245
46,gene_gene_on_CbG_name_mapped,5,15,0.19999999999999996
47,gene_gene_on_GcG_name_mapped,39,35,0.02822492822492806
48,GOMF,6,4,
