,Layer,Osteosarcoma nodes,Sarcoma nodes,sAB
0,coex_KDN,43,38,-0.3960576669817022
1,coex_BST,29,26,-0.2798046780805401
2,coex_OVR,31,34,-0.3677602639296187
3,coex_LNG,38,34,-0.16543816543816536
4,coex_ITI,40,31,-0.35963198546115405
5,coex_VGN,32,29,-0.15098572639909547
6,coex_HRV,27,24,-0.5627723311546842
7,coex_MSG,40,36,-0.1831871345029239
8,coex_ADV,27,31,-0.28109421991513206
9,coex_EMS,30,32,-0.1782037722545391
10,coex_SMU,31,25,-0.4643548387096774
11,coex_ARG,32,29,-0.6206454918032787
12,coex_TST,39,37,-0.2916347521610678
13,coex_PIT,39,35,-0.48577368577368585
14,coex_LVR,39,30,-0.3256410256410256
15,coex_THY,37,28,-0.4184437184437182
16,coex_PNC,34,30,-0.4023897058823529
17,coex_ATC,34,34,-0.20710424932436333
18,coex_BRO,38,36,-0.600772200772201
19,coex_SKN,39,31,-0.1194730001181612
20,coex_ADS,34,27,-0.6003770739064858
21,coex_GEJ,36,33,-0.04996392496392499
22,coex_BRB,32,29,-0.5111228813559323
23,coex_UTR,27,31,-0.09222330835234072
24,coex_STM,42,34,-0.3710747456877488
25,coex_HRA,34,28,-0.5074207102195716
26,coex_PRS,38,29,-0.3167781780751415
27,coex_ATA,34,28,-0.2953766205935926
28,coex_FIB,42,30,-0.32208895552223904
29,coex_BRC,36,37,-0.34260459089226214
30,coex_ATT,37,28,-0.11737286737286734
31,coex_TNV,26,22,-0.3854312354312355
32,coex_SPL,36,27,-0.23875661375661372
33,coex_LCL,32,24,-0.5564126538881098
34,coex_CLS,37,34,-0.3670620348609479
35,coex_EMC,33,32,-0.35040133477633484
36,coex_CLT,35,32,-0.34540610599078336
37,coex_core,42,39,-0.32058065391398727
38,coex_WBL,39,32,-0.30604460093896724
39,co-essential,16,21,0.26464646464646435
40,GOBP,9,7,0.3750000000000009
41,ppi,50,50,-0.17999999999999994
42,reactome_copathway,22,26,-0.09195804195804214
43,MP,13,8,-0.9523809523809526
44,HP,19,22,-0.08489905473217396
45,GI_net,29,32,-0.21640577737447053
46,gene_gene_on_CbG_name_mapped,15,13,-0.36007326007326035
47,gene_gene_on_GcG_name_mapped,29,37,-0.31456691801519376
48,GOMF,2,3,
