,Layer,Spondylolysis nodes,Cerebral_palsy nodes,sAB
0,coex_KDN,45,42,0.20287356321839067
1,coex_BST,33,32,0.25
2,coex_OVR,32,32,0.140625
3,coex_LNG,39,38,0.48684210526315796
4,coex_ITI,40,39,0.18879827977929242
5,coex_VGN,41,32,0.027987178416304825
6,coex_HRV,26,19,0.10236985236985241
7,coex_MSG,43,40,0.14153124124404592
8,coex_ADV,25,28,0.24313186813186816
9,coex_EMS,35,31,0.299489125675084
10,coex_SMU,32,32,0.3125
11,coex_ARG,30,32,-0.051041666666666874
12,coex_TST,42,39,0.062338895672229055
13,coex_PIT,42,40,0.28035714285714297
14,coex_LVR,39,32,0.09580963344167581
15,coex_THY,33,27,0.5161616161616163
16,coex_PNC,36,34,0.2815826330532212
17,coex_ATC,38,34,0.08943928448572391
18,coex_BRO,38,36,0.13157894736842102
19,coex_SKN,42,36,0.16849816849816834
20,coex_ADS,38,29,0.5977869274318066
21,coex_GEJ,35,31,0.409274193548387
22,coex_BRB,34,28,0.1432184926701381
23,coex_UTR,31,24,0.17592592592592604
24,coex_STM,39,37,0.19341102235839092
25,coex_HRA,33,33,0.15151515151515138
26,coex_PRS,35,36,0.23946456516879033
27,coex_ATA,32,27,0.1733266635279347
28,coex_FIB,34,30,0.02150735294117645
29,coex_BRC,37,35,0.42471042471042475
30,coex_ATT,39,32,0.23570670819790562
31,coex_TNV,35,18,0.375
32,coex_SPL,36,34,-0.042844964072585645
33,coex_LCL,15,25,0.015984555984555726
34,coex_CLS,41,35,0.32848890518980367
35,coex_EMC,44,32,0.14054821867321876
36,coex_CLT,44,36,0.24103535353535332
37,coex_core,42,37,0.20810896420652525
38,coex_WBL,27,30,0.10116959064327435
39,co-essential,7,11,0.42784992784992815
40,GOBP,20,26,0.8024725274725277
41,ppi,46,48,0.0739573697193956
42,reactome_copathway,15,23,0.46904761904761916
43,MP,16,16,0.8512820512820514
44,HP,23,32,0.3232413863822807
45,GI_net,20,17,0.5473370429252784
46,gene_gene_on_CbG_name_mapped,6,3,-0.0555555555555558
47,gene_gene_on_GcG_name_mapped,34,30,-0.10496323529411766
48,GOMF,6,6,
