,Layer,Chorea nodes,Respiratory_insufficiency nodes,sAB
0,coex_KDN,42,42,0.06997677119628332
1,coex_BST,40,34,0.12589514066496155
2,coex_OVR,37,34,0.09174327780465896
3,coex_LNG,40,37,0.025697613197613656
4,coex_ITI,45,39,0.05115995115995098
5,coex_VGN,41,39,0.08715603502188851
6,coex_HRV,19,19,-0.1578947368421053
7,coex_MSG,44,43,-0.05662377584991862
8,coex_ADV,33,33,0.10606060606060597
9,coex_EMS,40,33,0.30984848484848504
10,coex_SMU,37,41,-0.09106198130588372
11,coex_ARG,38,36,0.2296309467362101
12,coex_TST,47,40,-0.1163762533626802
13,coex_PIT,45,38,0.18786373564433156
14,coex_LVR,33,39,0.03638497652582151
15,coex_THY,37,37,0.16557271557271536
16,coex_PNC,36,35,0.08748832866479939
17,coex_ATC,38,35,0.003568853640951719
18,coex_BRO,42,35,-0.05303030303030276
19,coex_SKN,41,37,0.02658467196336245
20,coex_ADS,33,29,0.7645353995386528
21,coex_GEJ,44,30,0.13232323232323262
22,coex_BRB,26,18,0.03923853923853882
23,coex_UTR,31,32,-0.04867629561078801
24,coex_STM,43,36,0.07506214633827235
25,coex_HRA,40,37,0.07821637426900585
26,coex_PRS,39,38,0.14221305010778718
27,coex_ATA,36,31,0.25998368373187875
28,coex_FIB,27,30,0.268908382066277
29,coex_BRC,44,37,0.022183897183897017
30,coex_ATT,39,40,0.2822435897435902
31,coex_TNV,21,18,1.0201680672268907
32,coex_SPL,35,34,0.001102180002435782
33,coex_LCL,26,28,-0.15562594268476637
34,coex_CLS,39,38,0.062096509464930394
35,coex_EMC,39,36,0.08866448866448873
36,coex_CLT,42,40,0.15638792102206733
37,coex_core,43,41,0.24974340274964213
38,coex_WBL,35,36,0.23909592822636316
39,co-essential,13,13,0.0
40,GOBP,23,20,-0.03289473684210531
41,ppi,50,50,0.16000000000000014
42,reactome_copathway,16,7,0.7352941176470589
43,MP,17,13,0.6889880952380953
44,HP,26,31,0.12830307779373995
45,GI_net,21,17,-0.008698216128556702
46,gene_gene_on_CbG_name_mapped,8,12,0.3833333333333333
47,gene_gene_on_GcG_name_mapped,38,41,0.13005557270762602
48,GOMF,3,6,
