,Layer,Nasal_polyposis nodes,West_syndrome nodes,sAB
0,coex_KDN,35,46,0.23750862663906158
1,coex_BST,22,37,0.21442877046325348
2,coex_OVR,22,38,0.32440191387559825
3,coex_LNG,35,38,0.7170717890616953
4,coex_ITI,28,40,0.3299369747899159
5,coex_VGN,25,40,0.26903846153846134
6,coex_HRV,20,23,0.46742424242424274
7,coex_MSG,28,42,0.0011904761904761862
8,coex_ADV,17,35,0.04140271493212655
9,coex_EMS,19,40,0.29438317278607684
10,coex_SMU,21,39,0.18003663003662984
11,coex_ARG,18,40,0.4268716577540106
12,coex_TST,34,44,0.18810846016728378
13,coex_PIT,32,43,0.34176356589147283
14,coex_LVR,22,38,0.3019138755980859
15,coex_THY,21,37,0.545178183109218
16,coex_PNC,24,37,0.49479882424797683
17,coex_ATC,21,39,0.2749084249084248
18,coex_BRO,32,42,0.5909204811226196
19,coex_SKN,23,41,0.23472295864262982
20,coex_ADS,17,21,0.18286963434022274
21,coex_GEJ,22,36,0.24377394636015337
22,coex_BRB,27,20,0.9039007092198581
23,coex_UTR,14,34,0.23126750700280096
24,coex_STM,24,39,0.048305860805860856
25,coex_HRA,22,38,0.35207336523125976
26,coex_PRS,26,36,0.5609227871939737
27,coex_ATA,19,38,0.6491228070175441
28,coex_FIB,18,35,0.41840371368673246
29,coex_BRC,19,42,0.6783146390566581
30,coex_ATT,16,38,1.0029848927875245
31,coex_TNV,15,16,0.7640456989247313
32,coex_SPL,25,43,0.2317099863201093
33,coex_LCL,13,27,0.0971509971509974
34,coex_CLS,24,38,0.2730263157894737
35,coex_EMC,25,35,0.2019047619047618
36,coex_CLT,25,38,0.24163742690058476
37,coex_core,27,39,0.18076923076923102
38,coex_WBL,27,36,0.2800546448087433
39,co-essential,4,11,0.15681818181818175
40,GOBP,28,22,1.8856421356421356
41,ppi,47,49,0.2496924301635548
42,reactome_copathway,12,18,0.927840909090909
43,MP,17,5,3.636554621848739
44,HP,26,34,0.665233785822021
45,GI_net,17,20,0.1937500000000001
46,gene_gene_on_CbG_name_mapped,8,12,0.08333333333333348
47,gene_gene_on_GcG_name_mapped,24,33,0.023125996810207328
48,GOMF,6,4,
