,Layer,Extrapyramidal_disease nodes,Bronchiolitis nodes,sAB
0,coex_KDN,37,34,0.06218231487494141
1,coex_BST,30,23,0.07083958020989511
2,coex_OVR,29,25,0.21909340659340693
3,coex_LNG,29,34,0.5391849529780566
4,coex_ITI,38,32,0.6087854445936702
5,coex_VGN,36,25,0.011111111111111072
6,coex_HRV,17,27,0.742275698158051
7,coex_MSG,37,32,0.25425969447708585
8,coex_ADV,31,29,0.7166810859803074
9,coex_EMS,23,22,0.17675928722440348
10,coex_SMU,21,25,0.25871635610766064
11,coex_ARG,30,24,0.6535256410256407
12,coex_TST,32,30,-0.04459005376344094
13,coex_PIT,33,31,0.13049853372434028
14,coex_LVR,29,31,0.282017055988135
15,coex_THY,22,28,0.9275556988322946
16,coex_PNC,32,28,0.21341660603120705
17,coex_ATC,30,29,0.48142770719903183
18,coex_BRO,38,32,0.5664845845328608
19,coex_SKN,33,23,0.05978260869565233
20,coex_ADS,30,29,0.8334210013637249
21,coex_GEJ,26,30,0.6730769230769229
22,coex_BRB,28,26,0.47526954177897585
23,coex_UTR,24,13,0.26222943722943715
24,coex_STM,33,28,0.35221769755668064
25,coex_HRA,27,26,0.4822222222222221
26,coex_PRS,29,24,0.5153820148749158
27,coex_ATA,30,32,0.3732607380520263
28,coex_FIB,21,19,0.3934837092731829
29,coex_BRC,28,22,0.32474025974025933
30,coex_ATT,28,24,0.6181972789115644
31,coex_TNV,21,24,1.232237539766702
32,coex_SPL,28,26,0.16335978835978837
33,coex_LCL,18,22,0.32380952380952355
34,coex_CLS,31,27,0.4060272731018002
35,coex_EMC,32,24,0.18005952380952417
36,coex_CLT,33,27,0.4106002554278416
37,coex_core,38,36,0.5850103199174406
38,coex_WBL,27,37,0.2018147179437504
39,co-essential,10,7,1.2857142857142856
40,GOBP,16,16,0.6384615384615389
41,ppi,49,50,0.249719645433931
42,reactome_copathway,15,24,0.5453804347826086
43,MP,19,13,3.7744444444444447
44,HP,22,19,0.7978760648850507
45,GI_net,16,17,0.14124762808349134
46,gene_gene_on_CbG_name_mapped,14,14,0.10714285714285698
47,gene_gene_on_GcG_name_mapped,38,38,0.21052631578947367
48,GOMF,5,2,
