,Layer,Muscle_spasm nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,42,39,0.22693664360331045
1,coex_BST,34,29,0.5175713963746418
2,coex_OVR,38,30,0.1725490196078434
3,coex_LNG,35,25,0.636190476190476
4,coex_ITI,41,42,0.23942459734408028
5,coex_VGN,37,37,0.3513513513513513
6,coex_HRV,16,28,0.5892857142857144
7,coex_MSG,39,40,0.15051119766309662
8,coex_ADV,35,29,0.734862311233142
9,coex_EMS,35,31,0.4464460784313724
10,coex_SMU,36,21,0.48015873015873023
11,coex_ARG,39,28,0.27463369963369955
12,coex_TST,40,34,0.13376391096979323
13,coex_PIT,40,35,0.16722972972972983
14,coex_LVR,38,30,0.49081527347781195
15,coex_THY,30,32,0.7362379456458212
16,coex_PNC,36,26,0.16446098704163248
17,coex_ATC,38,33,0.35694229170878566
18,coex_BRO,34,35,0.5039276580197298
19,coex_SKN,37,34,0.33326429163214577
20,coex_ADS,27,28,0.46605180533752
21,coex_GEJ,36,32,0.331989247311828
22,coex_BRB,21,29,0.40291461412151075
23,coex_UTR,36,16,0.22489316239316226
24,coex_STM,40,38,0.3516869095816464
25,coex_HRA,36,27,0.36177248677248675
26,coex_PRS,37,34,0.3686602924382545
27,coex_ATA,32,32,0.859375
28,coex_FIB,35,17,0.2016806722689073
29,coex_BRC,35,29,0.3081742610837439
30,coex_ATT,36,33,0.5659722222222219
31,coex_TNV,19,24,0.2600430416068864
32,coex_SPL,36,26,0.25644472015439757
33,coex_LCL,32,15,0.30542521994134875
34,coex_CLS,38,39,0.3079020315862422
35,coex_EMC,37,34,0.28068328068328086
36,coex_CLT,40,38,0.3586201079622131
37,coex_core,40,38,0.515806342780027
38,coex_WBL,33,18,0.2081105169340467
39,co-essential,14,3,-0.21474358974358942
40,GOBP,24,26,0.8347222222222221
41,ppi,49,45,0.1614898441646162
42,reactome_copathway,14,6,-0.5630252100840338
43,MP,13,17,0.6266666666666669
44,HP,33,18,0.44934640522875813
45,GI_net,26,11,0.16830466830466806
46,gene_gene_on_CbG_name_mapped,9,9,-0.05555555555555558
47,gene_gene_on_GcG_name_mapped,31,32,0.12830421146953386
48,GOMF,3,8,
