,Layer,Crohn_disease nodes,Vitiligo nodes,sAB
0,coex_KDN,38,41,-0.02184316146958931
1,coex_BST,27,25,0.18737891737891732
2,coex_OVR,30,30,-0.2068965517241379
3,coex_LNG,34,36,0.11034255599472997
4,coex_ITI,38,37,-0.10534850640113791
5,coex_VGN,32,34,-0.171897546897547
6,coex_HRV,25,18,0.47024390243902436
7,coex_MSG,36,34,-0.15648926237161542
8,coex_ADV,24,26,0.5028846153846156
9,coex_EMS,26,25,-0.17506787330316742
10,coex_SMU,28,24,-0.049679487179487225
11,coex_ARG,28,25,0.0777358490566038
12,coex_TST,31,31,-0.27419354838709675
13,coex_PIT,30,27,-0.18013468013468015
14,coex_LVR,34,26,-0.09645550527903479
15,coex_THY,31,29,0.13646215730688116
16,coex_PNC,28,30,-0.3642857142857141
17,coex_ATC,31,32,-0.06451612903225823
18,coex_BRO,32,30,-0.01179435483870983
19,coex_SKN,30,30,0.20345801675433473
20,coex_ADS,28,27,-0.14916564916564923
21,coex_GEJ,27,23,0.33252818035426746
22,coex_BRB,22,26,-0.22506840985101872
23,coex_UTR,19,23,0.002397297591805625
24,coex_STM,35,33,-0.11385281385281387
25,coex_HRA,29,22,0.1875
26,coex_PRS,26,21,-0.1793313069908815
27,coex_ATA,34,31,0.03680484600788203
28,coex_FIB,16,21,-0.10609716859716856
29,coex_BRC,25,30,-0.105151515151515
30,coex_ATT,29,29,-0.051724137931034475
31,coex_TNV,22,17,-0.010798025503908182
32,coex_SPL,35,29,0.14909174876847286
33,coex_LCL,21,23,-0.25
34,coex_CLS,28,30,-0.31785714285714284
35,coex_EMC,30,31,0.047549797285386664
36,coex_CLT,33,30,-0.1597782258064515
37,coex_core,36,36,0.004761904761904967
38,coex_WBL,37,33,-0.14961974961974955
39,co-essential,9,6,0.9658119658119655
40,GOBP,21,16,0.8291666666666666
41,ppi,50,49,0.009639249639249448
42,reactome_copathway,24,23,0.6190476190476191
43,MP,13,19,0.2630139257294428
44,HP,21,23,0.11871823828345573
45,GI_net,18,16,-0.13194444444444464
46,gene_gene_on_CbG_name_mapped,15,6,0.040476190476190776
47,gene_gene_on_GcG_name_mapped,31,29,-0.14988876529477202
48,GOMF,8,10,-0.6666666666666667
