,Layer,Orthostatic_hypotension nodes,Glaucoma nodes,sAB
0,coex_KDN,36,39,0.07931623931623943
1,coex_BST,23,21,-0.0335761799176435
2,coex_OVR,28,35,0.24444444444444446
3,coex_LNG,28,33,0.07857142857142874
4,coex_ITI,34,37,0.23144830829172158
5,coex_VGN,33,40,0.036124948111249555
6,coex_HRV,15,26,0.3510318949343336
7,coex_MSG,34,41,0.04426111908177899
8,coex_ADV,22,19,0.3228206325125451
9,coex_EMS,26,29,0.08456783944747492
10,coex_SMU,24,29,0.3419946866189547
11,coex_ARG,28,29,0.6794894760412
12,coex_TST,36,41,0.002089712455566106
13,coex_PIT,31,38,0.29922369036194985
14,coex_LVR,30,37,0.10110880110880105
15,coex_THY,27,32,0.802652228499686
16,coex_PNC,28,34,0.054723502304147686
17,coex_ATC,31,32,0.21436244050766806
18,coex_BRO,32,33,0.44357517482517483
19,coex_SKN,28,36,0.4166666666666665
20,coex_ADS,23,26,0.6849703091939117
21,coex_GEJ,28,27,0.208514755684567
22,coex_BRB,21,27,0.5353835978835977
23,coex_UTR,22,28,0.3302240087954371
24,coex_STM,32,39,0.24149061032863828
25,coex_HRA,30,26,0.43406593406593386
26,coex_PRS,24,28,0.17445054945054972
27,coex_ATA,26,30,0.40042735042735034
28,coex_FIB,18,27,-0.02972027972028002
29,coex_BRC,26,35,0.0714285714285714
30,coex_ATT,28,32,0.2663828790127316
31,coex_TNV,23,28,0.7602040816326534
32,coex_SPL,29,27,0.42592592592592604
33,coex_LCL,21,13,-0.06491841491841477
34,coex_CLS,28,30,0.03349753694581259
35,coex_EMC,30,32,0.16481854838709697
36,coex_CLT,32,37,0.3252240011750882
37,coex_core,33,37,0.03257761437908502
38,coex_WBL,28,27,0.4189033189033189
39,co-essential,7,6,-0.16666666666666652
40,GOBP,16,9,1.7507002801120448
41,ppi,50,49,0.2925747268604413
42,reactome_copathway,17,23,0.9542050691244239
43,MP,20,11,0.8226860254083483
44,HP,29,20,0.5620865587614354
45,GI_net,25,21,0.45999999999999996
46,gene_gene_on_CbG_name_mapped,15,9,-0.05277777777777781
47,gene_gene_on_GcG_name_mapped,35,38,0.13428792569659453
48,GOMF,8,2,
