,Layer,Prostate_neoplasm nodes,Retinoblastoma nodes,sAB
0,coex_KDN,42,46,-0.23988005997001505
1,coex_BST,31,40,-0.1535211267605634
2,coex_OVR,32,38,-0.07676976452351081
3,coex_LNG,42,45,-0.20868469149807778
4,coex_ITI,41,44,-0.040703665058041016
5,coex_VGN,36,40,-0.05738304093567237
6,coex_HRV,26,18,0.3179069767441858
7,coex_MSG,41,42,8.046121769322845e-05
8,coex_ADV,27,34,0.23020752557143354
9,coex_EMS,32,41,0.041644044437019634
10,coex_SMU,34,41,-0.12393879467050195
11,coex_ARG,32,40,-0.10729166666666679
12,coex_TST,45,45,-0.06666666666666687
13,coex_PIT,35,42,-0.09428571428571408
14,coex_LVR,37,38,0.06688952110004731
15,coex_THY,38,42,-0.061528822055137766
16,coex_PNC,30,40,0.008333333333333304
17,coex_ATC,33,45,-0.058851674641148266
18,coex_BRO,37,41,0.03629802410290228
19,coex_SKN,32,42,-0.23584369673631733
20,coex_ADS,39,39,0.5641025641025643
21,coex_GEJ,32,35,-0.14541554107738763
22,coex_BRB,29,27,0.1219658675741957
23,coex_UTR,21,36,-0.5130534670008355
24,coex_STM,42,43,0.010442316461468204
25,coex_HRA,34,41,-0.04291248206599718
26,coex_PRS,36,38,-0.04695128231537771
27,coex_ATA,33,41,-0.14784962345937958
28,coex_FIB,29,41,-0.310144927536232
29,coex_BRC,35,41,-0.09257289565376858
30,coex_ATT,29,41,0.02759740259740262
31,coex_TNV,23,16,-0.5464782964782962
32,coex_SPL,29,43,-0.20635079746948226
33,coex_LCL,29,38,-0.01155666945140621
34,coex_CLS,36,38,-0.12125913374986741
35,coex_EMC,36,40,0.03828828828828823
36,coex_CLT,40,39,-0.11268556005398112
37,coex_core,45,45,-0.009343434343434431
38,coex_WBL,37,41,-0.25144938559572694
39,co-essential,20,24,-0.021256684491978817
40,GOBP,8,12,0.9464285714285712
41,ppi,50,50,-0.13000000000000012
42,reactome_copathway,30,34,0.11576168929110109
43,MP,8,10,-0.71609477124183
44,HP,19,25,-0.29947368421052634
45,GI_net,31,37,-0.09886132466777608
46,gene_gene_on_CbG_name_mapped,16,13,-0.2210709549071619
47,gene_gene_on_GcG_name_mapped,35,36,-0.05644980997093674
48,GOMF,6,3,0.08333333333333326
