,Layer,Emphysema nodes,Keratitis nodes,sAB
0,coex_KDN,36,39,0.027393162393162473
1,coex_BST,23,29,0.17578710644677642
2,coex_OVR,29,41,0.038999250374812444
3,coex_LNG,33,35,0.3324142156862746
4,coex_ITI,30,35,0.07722960151802671
5,coex_VGN,29,39,0.28379120879120867
6,coex_HRV,31,20,0.09528985507246368
7,coex_MSG,38,45,0.056517297259212285
8,coex_ADV,21,30,0.08641456582633023
9,coex_EMS,25,31,0.31958525345622135
10,coex_SMU,21,25,0.3619913419913421
11,coex_ARG,23,31,0.04591102749958509
12,coex_TST,27,35,-0.0053934118450247315
13,coex_PIT,29,37,0.1549153549153548
14,coex_LVR,40,32,0.3137922083784761
15,coex_THY,25,24,0.12515306122448955
16,coex_PNC,27,32,0.3781779661016951
17,coex_ATC,26,30,0.4507326007326009
18,coex_BRO,26,35,0.006630657478115198
19,coex_SKN,31,37,0.5436735242705393
20,coex_ADS,27,31,0.6951566951566952
21,coex_GEJ,24,40,0.49542124542124544
22,coex_BRB,24,24,0.17115710761640468
23,coex_UTR,20,22,0.5340909090909092
24,coex_STM,35,33,0.007728545963840094
25,coex_HRA,25,31,0.7666666666666666
26,coex_PRS,23,32,0.1211161812961441
27,coex_ATA,22,29,0.11624869383490077
28,coex_FIB,21,21,0.6964285714285716
29,coex_BRC,24,27,0.10239651416121953
30,coex_ATT,29,27,0.43284493284493264
31,coex_TNV,23,21,0.8766761693590959
32,coex_SPL,32,28,0.009672619047619069
33,coex_LCL,22,21,0.22272727272727288
34,coex_CLS,27,30,0.12151515151515158
35,coex_EMC,32,34,0.24189368370298925
36,coex_CLT,28,33,0.1046777296777297
37,coex_core,33,43,0.16047654419747448
38,coex_WBL,33,30,0.14022177419354853
39,co-essential,7,6,-0.3214285714285712
40,GOBP,17,20,1.7338815789473685
41,ppi,49,50,0.22258091115233958
42,reactome_copathway,29,20,0.9325461088618985
43,MP,13,16,1.8608974358974357
44,HP,22,33,0.43939393939393945
45,GI_net,18,25,0.5208333333333335
46,gene_gene_on_CbG_name_mapped,15,6,0.5476190476190474
47,gene_gene_on_GcG_name_mapped,29,30,-0.13870056497175143
48,GOMF,5,2,
