,Layer,Bladder_neoplasm nodes,Neoplasm_of_brain nodes,sAB
0,coex_KDN,43,43,-0.24815972900788208
1,coex_BST,32,26,-0.19040119363395203
2,coex_OVR,32,35,-0.22847367686077358
3,coex_LNG,41,36,0.01388888888888884
4,coex_ITI,43,39,-0.25760286225402496
5,coex_VGN,35,32,-0.13262926439232414
6,coex_HRV,35,28,0.05943345079967477
7,coex_MSG,42,42,-0.09523809523809512
8,coex_ADV,29,27,0.16835431490603892
9,coex_EMS,35,34,0.13578953969647545
10,coex_SMU,31,32,-0.22272625448028682
11,coex_ARG,29,35,0.08029627905430115
12,coex_TST,40,38,-0.16835357624831326
13,coex_PIT,38,40,-0.1536268556005398
14,coex_LVR,41,39,-0.17633677298311445
15,coex_THY,34,31,-0.02992263903079806
16,coex_PNC,34,37,-0.17311180277211746
17,coex_ATC,33,39,0.027181518598772048
18,coex_BRO,35,38,-0.14913997322072303
19,coex_SKN,33,36,-0.2016952614379084
20,coex_ADS,33,29,-0.42606262850979215
21,coex_GEJ,38,30,-0.1185724185724184
22,coex_BRB,29,37,-0.30461835461835474
23,coex_UTR,26,25,-0.39067873303167433
24,coex_STM,41,41,-0.14634146341463428
25,coex_HRA,33,39,0.22740610328638478
26,coex_PRS,37,34,-0.20998364092993227
27,coex_ATA,30,33,0.12771766609363944
28,coex_FIB,31,33,-0.2257189796495196
29,coex_BRC,35,38,-0.18212483262951906
30,coex_ATT,27,36,-0.1488927738927739
31,coex_TNV,26,26,-0.4423076923076925
32,coex_SPL,30,33,-0.08461131676361733
33,coex_LCL,25,24,-0.21730720713144414
34,coex_CLS,35,40,-0.11293067662930678
35,coex_EMC,35,33,-0.22610876100779498
36,coex_CLT,34,38,-0.1951494348519518
37,coex_core,44,43,-0.10591783917766273
38,coex_WBL,38,34,-0.31884448637599117
39,co-essential,10,18,-0.031196581196581086
40,GOBP,8,10,0.9935897435897427
41,ppi,50,50,-0.16000000000000014
42,reactome_copathway,29,31,-0.19964240102171127
43,MP,10,12,-0.2356459330143541
44,HP,23,22,-0.1221532091097306
45,GI_net,28,27,-0.16148148148148134
46,gene_gene_on_CbG_name_mapped,16,17,-0.08762254901960786
47,gene_gene_on_GcG_name_mapped,28,31,-0.18318948683902203
48,GOMF,6,3,
