,Layer,Epilepsy nodes,Benign_Neonatal_Epilepsy nodes,sAB
0,coex_KDN,34,29,0.10328729192826569
1,coex_BST,26,27,0.48898027199913985
2,coex_OVR,18,18,0.08333333333333348
3,coex_LNG,25,22,0.14191919191919178
4,coex_ITI,30,37,-0.02758504773430137
5,coex_VGN,34,37,-0.2329429678228352
6,coex_HRV,10,21,-0.6822580645161289
7,coex_MSG,28,26,0.036731786731786675
8,coex_ADV,22,22,0.24999999999999978
9,coex_EMS,26,27,-0.016408643767134468
10,coex_SMU,22,16,-0.178379186602871
11,coex_ARG,34,29,0.14028191921930078
12,coex_TST,35,35,0.014285714285714235
13,coex_PIT,42,31,-0.023478105338467836
14,coex_LVR,24,15,0.18397435897435876
15,coex_THY,22,22,0.23885029698983207
16,coex_PNC,27,31,-0.19727680962386196
17,coex_ATC,28,24,0.1923076923076923
18,coex_BRO,49,43,0.030864000340744546
19,coex_SKN,27,28,0.19624138963761606
20,coex_ADS,18,29,0.6983166218309285
21,coex_GEJ,29,29,0.12127301011148539
22,coex_BRB,35,38,0.07137942896456839
23,coex_UTR,24,17,0.3070175438596492
24,coex_STM,31,32,0.11290322580645173
25,coex_HRA,27,22,0.24855699855699864
26,coex_PRS,25,19,-0.23315789473684223
27,coex_ATA,21,21,0.09523809523809534
28,coex_FIB,19,8,-0.015472709551656916
29,coex_BRC,46,42,0.1256159940116024
30,coex_ATT,24,22,0.8133352155091287
31,coex_TNV,21,30,0.09734042553191502
32,coex_SPL,21,12,0.025974025974026205
33,coex_LCL,16,4,0.375
34,coex_CLS,28,36,-0.06498015873015861
35,coex_EMC,24,20,0.3583333333333334
36,coex_CLT,30,33,-0.0858870967741936
37,coex_core,28,38,0.13422761449077236
38,coex_WBL,23,13,1.0431995540691195
39,co-essential,5,6,0.5
40,GOBP,28,26,0.22359221466364332
41,ppi,50,50,-0.010000000000000009
42,reactome_copathway,13,13,0.07896270396270433
43,MP,13,14,0.045454545454545414
44,HP,31,15,0.011734455352968576
45,GI_net,17,14,-0.289553752535497
46,gene_gene_on_CbG_name_mapped,15,13,-0.09102564102564115
47,gene_gene_on_GcG_name_mapped,38,35,-0.06923473066227204
48,GOMF,4,6,
