,Layer,Nephrotic_syndrome nodes,Kidney_damage nodes,sAB
0,coex_KDN,43,46,0.40236420854114385
1,coex_BST,19,35,0.3394597605123919
2,coex_OVR,23,37,0.262358010184097
3,coex_LNG,28,41,0.20107579863677394
4,coex_ITI,35,43,0.09656699889258036
5,coex_VGN,29,39,0.27579299292661363
6,coex_HRV,22,24,0.5561264822134386
7,coex_MSG,31,44,0.1909872922776148
8,coex_ADV,25,30,0.41333333333333355
9,coex_EMS,20,34,0.23151260504201643
10,coex_SMU,22,35,0.24678742310321278
11,coex_ARG,19,36,-0.03943950786056094
12,coex_TST,31,43,0.10325216439244933
13,coex_PIT,31,43,0.11994890614545528
14,coex_LVR,39,25,0.30676282051282033
15,coex_THY,26,40,0.6915384615384612
16,coex_PNC,29,32,0.5127209964932788
17,coex_ATC,24,38,0.14533814374646292
18,coex_BRO,27,42,0.43697478991596617
19,coex_SKN,31,40,0.32776054590570736
20,coex_ADS,21,30,0.18403361344537794
21,coex_GEJ,23,33,0.2827550871029132
22,coex_BRB,25,32,0.20500000000000007
23,coex_UTR,18,32,0.2556272509003601
24,coex_STM,33,39,0.3401320901320901
25,coex_HRA,25,36,0.3729530009006796
26,coex_PRS,27,32,0.2617702448210921
27,coex_ATA,27,32,0.23881826741996193
28,coex_FIB,19,28,0.15945448728203493
29,coex_BRC,29,37,0.5009756523765145
30,coex_ATT,27,36,0.5706601827291482
31,coex_TNV,20,29,0.7373680506685436
32,coex_SPL,35,33,0.7213649096002039
33,coex_LCL,10,18,0.4907407407407409
34,coex_CLS,34,37,0.5489965668993801
35,coex_EMC,24,39,0.07051282051282048
36,coex_CLT,31,39,0.19612430580172524
37,coex_core,35,42,0.49434389140271495
38,coex_WBL,32,17,0.6907658010012518
39,co-essential,4,4,-0.3452380952380949
40,GOBP,22,25,0.012873754152824102
41,ppi,50,48,0.18047619047619046
42,reactome_copathway,26,13,0.2884615384615383
43,MP,17,22,0.042780748663101775
44,HP,25,21,0.3286542443064182
45,GI_net,15,14,-0.049450549450549275
46,gene_gene_on_CbG_name_mapped,14,4,0.6011904761904763
47,gene_gene_on_GcG_name_mapped,30,34,-0.042769607843137214
48,GOMF,8,4,
