,Layer,Status_epilepticus nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,39,39,0.2852410747147589
1,coex_BST,29,29,0.5332512315270936
2,coex_OVR,23,30,0.20967365967365925
3,coex_LNG,32,25,0.6490350877192985
4,coex_ITI,32,42,0.36916827541827546
5,coex_VGN,27,37,0.5065670065670065
6,coex_HRV,26,28,0.4945563695563693
7,coex_MSG,36,40,0.27105263157894743
8,coex_ADV,22,29,0.691207203884689
9,coex_EMS,23,31,0.6184304074377902
10,coex_SMU,25,21,0.44078674948240204
11,coex_ARG,25,28,0.3598901098901095
12,coex_TST,33,34,0.4315787373293958
13,coex_PIT,38,35,0.4108187134502921
14,coex_LVR,35,30,0.6221611721611722
15,coex_THY,32,32,0.953125
16,coex_PNC,25,26,0.11488687782805407
17,coex_ATC,27,33,0.9841750841750843
18,coex_BRO,37,35,0.5738953238953237
19,coex_SKN,26,34,0.432126696832579
20,coex_ADS,28,28,0.56827731092437
21,coex_GEJ,24,32,0.8075073313782992
22,coex_BRB,31,29,0.6329069336299593
23,coex_UTR,21,16,0.40416666666666634
24,coex_STM,34,38,0.4751031991744066
25,coex_HRA,30,27,0.8290448343079921
26,coex_PRS,20,34,0.32697587475903944
27,coex_ATA,28,32,1.3041666666666667
28,coex_FIB,20,17,0.05277777777777759
29,coex_BRC,37,29,0.6746731057075885
30,coex_ATT,26,33,0.503038824383164
31,coex_TNV,28,24,0.5673076923076925
32,coex_SPL,24,26,0.2713461538461539
33,coex_LCL,17,15,0.48272058823529385
34,coex_CLS,28,39,0.5421773854560743
35,coex_EMC,25,34,0.2722288676236042
36,coex_CLT,28,38,0.3086409204830258
37,coex_core,38,38,0.810810810810811
38,coex_WBL,34,18,0.4204374057315232
39,co-essential,9,3,-0.7973484848484849
40,GOBP,14,26,0.5902777777777777
41,ppi,50,45,0.12467836257309939
42,reactome_copathway,19,6,0.35025062656641603
43,MP,12,17,0.5266666666666664
44,HP,18,18,0.13888888888888884
45,GI_net,20,11,0.2464733542319748
46,gene_gene_on_CbG_name_mapped,21,9,0.14761904761904754
47,gene_gene_on_GcG_name_mapped,32,32,-0.015625
48,GOMF,4,8,
