,Layer,Orthostatic_hypotension nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,36,40,0.14137426900584815
1,coex_BST,23,31,0.17587008244342384
2,coex_OVR,28,36,0.15327380952380953
3,coex_LNG,28,37,0.2246213246213249
4,coex_ITI,34,40,0.20103338632750423
5,coex_VGN,33,33,0.045454545454545414
6,coex_HRV,15,24,0.8289414414414411
7,coex_MSG,34,40,-0.0007949125596184992
8,coex_ADV,22,28,0.38850649350649347
9,coex_EMS,26,30,-0.05641025641025621
10,coex_SMU,24,30,0.16805555555555518
11,coex_ARG,28,28,0.2314814814814814
12,coex_TST,36,36,0.0706349206349206
13,coex_PIT,31,32,0.11295922939068093
14,coex_LVR,30,35,0.011111111111111072
15,coex_THY,27,31,0.13500597371565082
16,coex_PNC,28,29,0.12083009247256049
17,coex_ATC,31,36,0.1370700262130209
18,coex_BRO,32,36,0.05453431372548989
19,coex_SKN,28,35,0.11547619047619051
20,coex_ADS,23,33,1.0935676642198384
21,coex_GEJ,28,32,0.2932888394512423
22,coex_BRB,21,27,0.40575396825396837
23,coex_UTR,22,21,-0.0699939595288428
24,coex_STM,32,37,0.07723756365060708
25,coex_HRA,30,32,0.3808497536945814
26,coex_PRS,24,33,-0.039673046251993416
27,coex_ATA,26,30,0.1538461538461542
28,coex_FIB,18,26,-0.034965034965035
29,coex_BRC,26,34,0.081372549019608
30,coex_ATT,28,32,0.09906096059113301
31,coex_TNV,23,21,0.7377177700348434
32,coex_SPL,29,36,0.10470085470085477
33,coex_LCL,21,24,-0.09642857142857109
34,coex_CLS,28,32,-0.0014880952380953438
35,coex_EMC,30,30,0.06666666666666665
36,coex_CLT,32,34,0.16697303921568607
37,coex_core,33,39,-0.027091165413533957
38,coex_WBL,28,34,-0.0030496069395502534
39,co-essential,7,6,-0.16666666666666696
40,GOBP,16,24,1.4589743589743591
41,ppi,50,50,0.27
42,reactome_copathway,17,12,0.7976778656126484
43,MP,20,14,1.7423629002576373
44,HP,29,27,0.3492747673782155
45,GI_net,25,13,0.2805128205128202
46,gene_gene_on_CbG_name_mapped,15,11,0.2445221445221446
47,gene_gene_on_GcG_name_mapped,35,30,-0.07843137254901955
48,GOMF,8,7,0.0
