,Layer,Gingivostomatitis nodes,Pneumonia nodes,sAB
0,coex_KDN,28,36,0.12916026625704058
1,coex_BST,8,23,0.6763768115942033
2,coex_OVR,13,28,0.45220797720797723
3,coex_LNG,39,35,0.7230158730158729
4,coex_ITI,20,31,0.05060088551549646
5,coex_VGN,15,22,0.22330447330447312
6,coex_HRV,21,31,0.9756650246305418
7,coex_MSG,36,38,0.177236446973289
8,coex_ADV,31,35,0.5098031001256806
9,coex_EMS,11,26,0.3129370629370629
10,coex_SMU,14,23,0.03855444072835379
11,coex_ARG,11,22,0.4242424242424243
12,coex_TST,19,25,-0.017368421052631478
13,coex_PIT,17,33,0.09989564007421148
14,coex_LVR,34,32,0.345281862745098
15,coex_THY,15,23,0.2923722349351636
16,coex_PNC,20,26,0.26404682274247504
17,coex_ATC,29,26,0.4101020969921425
18,coex_BRO,21,35,0.23452380952380958
19,coex_SKN,19,23,0.2013157894736839
20,coex_ADS,22,24,0.41757246376811574
21,coex_GEJ,32,30,0.6477353024307517
22,coex_BRB,20,28,0.11466165413533824
23,coex_UTR,7,17,0.4598214285714288
24,coex_STM,31,31,0.596774193548387
25,coex_HRA,21,25,0.8206220095693784
26,coex_PRS,9,28,0.445887445887446
27,coex_ATA,34,26,0.2892156862745101
28,coex_FIB,6,26,1.188301282051282
29,coex_BRC,13,24,0.1562716562716564
30,coex_ATT,18,24,0.2105263157894739
31,coex_TNV,13,24,0.08389639639639679
32,coex_SPL,37,23,0.1439287113200156
33,coex_LCL,13,16,1.8282585470085468
34,coex_CLS,12,24,0.09659090909090917
35,coex_EMC,31,27,0.5688109161793373
36,coex_CLT,21,29,0.4831881533101048
37,coex_core,36,34,0.7363414931189869
38,coex_WBL,35,30,0.3867647058823529
39,co-essential,1,9,
40,GOBP,18,12,2.0625
41,ppi,47,50,0.352770344373766
42,reactome_copathway,20,25,1.2554878048780487
43,MP,14,11,0.8678571428571429
44,HP,14,12,0.557234432234432
45,GI_net,12,22,0.49364177489177496
46,gene_gene_on_CbG_name_mapped,18,14,0.34771825396825395
47,gene_gene_on_GcG_name_mapped,25,29,0.13624521072796902
48,GOMF,9,2,
