,Layer,Eczematoid_dermatitis nodes,Emphysema nodes,sAB
0,coex_KDN,45,36,0.03611111111111098
1,coex_BST,18,23,0.18617614269788163
2,coex_OVR,32,29,-0.0005387931034483984
3,coex_LNG,42,33,0.36661438223938236
4,coex_ITI,36,30,0.11041666666666661
5,coex_VGN,38,29,0.43243985743985736
6,coex_HRV,26,31,0.15270655270655276
7,coex_MSG,39,38,0.11559931296773418
8,coex_ADV,28,21,0.25425170068027203
9,coex_EMS,33,25,0.2869383490073143
10,coex_SMU,33,21,0.239189425770308
11,coex_ARG,32,23,-0.05938416422287407
12,coex_TST,36,27,-0.003306878306878369
13,coex_PIT,34,29,0.27094063431824367
14,coex_LVR,32,40,0.3419612224629831
15,coex_THY,35,25,0.2371428571428571
16,coex_PNC,30,27,0.08508771929824577
17,coex_ATC,35,26,0.23476621417797872
18,coex_BRO,31,26,-0.015367202124417778
19,coex_SKN,37,31,0.4783245932499667
20,coex_ADS,35,27,0.4598630877319403
21,coex_GEJ,37,24,0.3978851733089024
22,coex_BRB,27,24,0.03593537414965975
23,coex_UTR,20,20,0.07894736842105265
24,coex_STM,32,35,-0.021323837452869476
25,coex_HRA,23,25,0.2804347826086959
26,coex_PRS,31,23,0.03301127214170663
27,coex_ATA,34,22,0.20769010863350523
28,coex_FIB,14,21,0.3203463203463206
29,coex_BRC,21,24,0.23492063492063497
30,coex_ATT,36,29,0.23239087301587302
31,coex_TNV,27,23,0.37494949494949514
32,coex_SPL,38,32,0.10265507518796957
33,coex_LCL,21,22,0.3465644820295988
34,coex_CLS,29,27,0.3631673052362707
35,coex_EMC,41,32,0.2941855400696862
36,coex_CLT,34,28,0.3113685878391763
37,coex_core,44,33,0.1477272727272727
38,coex_WBL,39,33,0.2840206301914048
39,co-essential,4,7,0.633116883116883
40,GOBP,13,17,0.6554945054945058
41,ppi,50,49,0.30278293135435996
42,reactome_copathway,23,29,1.0556659652404334
43,MP,13,13,0.9195930880713492
44,HP,26,22,0.3703379953379955
45,GI_net,22,18,0.19723551302498699
46,gene_gene_on_CbG_name_mapped,10,15,0.4633333333333334
47,gene_gene_on_GcG_name_mapped,26,29,-0.08566433566433562
48,GOMF,9,5,
