,Layer,Prostatitis nodes,Cellulitis nodes,sAB
0,coex_KDN,35,45,0.1570207570207569
1,coex_BST,19,22,0.4070707070707069
2,coex_OVR,15,38,0.2001287001287002
3,coex_LNG,30,42,0.5385281385281386
4,coex_ITI,28,44,0.1581890331890332
5,coex_VGN,18,41,0.3029053084648494
6,coex_HRV,21,34,0.11880978806616982
7,coex_MSG,30,45,0.2122222222222223
8,coex_ADV,24,30,0.30666666666666664
9,coex_EMS,16,30,-0.06811594202898563
10,coex_SMU,16,31,0.15614275909402875
11,coex_ARG,21,27,0.10780423280423301
12,coex_TST,23,35,0.1387449132576568
13,coex_PIT,25,36,0.09188524590163949
14,coex_LVR,30,36,0.12857142857142834
15,coex_THY,26,41,0.6460824395844416
16,coex_PNC,22,34,0.0415839062897887
17,coex_ATC,17,42,0.40603190428713853
18,coex_BRO,28,39,0.21217105263157876
19,coex_SKN,18,33,0.142602495543672
20,coex_ADS,18,39,0.40159694107062505
21,coex_GEJ,18,35,0.1073083778966133
22,coex_BRB,17,31,0.12137096774193568
23,coex_UTR,14,27,0.6799450549450547
24,coex_STM,25,43,0.6741930937279776
25,coex_HRA,23,27,0.5064412238325282
26,coex_PRS,24,37,0.42834281650071127
27,coex_ATA,19,38,0.3421052631578947
28,coex_FIB,23,20,0.2829878665318504
29,coex_BRC,23,25,0.14826086956521722
30,coex_ATT,14,36,0.2544748395812224
31,coex_TNV,12,30,0.2404761904761905
32,coex_SPL,26,38,0.050354251012145745
33,coex_LCL,17,24,0.31560856049736996
34,coex_CLS,21,39,0.13432453813579048
35,coex_EMC,18,40,-0.016898864809081537
36,coex_CLT,24,44,0.3958333333333335
37,coex_core,32,46,0.4511421929335817
38,coex_WBL,26,37,0.1826923076923077
39,co-essential,7,8,0.0029761904761902436
40,GOBP,18,12,2.211956521739131
41,ppi,50,50,0.08000000000000007
42,reactome_copathway,16,21,0.6041666666666665
43,MP,16,11,0.5492753623188404
44,HP,19,33,0.18954729481045263
45,GI_net,18,21,-0.03267973856209139
46,gene_gene_on_CbG_name_mapped,14,8,0.2288961038961037
47,gene_gene_on_GcG_name_mapped,31,30,-0.01692226335272351
48,GOMF,5,2,
