,Layer,Prostatitis nodes,Sinusitis nodes,sAB
0,coex_KDN,35,41,0.09219667318982383
1,coex_BST,19,21,0.7295482295482296
2,coex_OVR,15,33,0.3488936335403725
3,coex_LNG,30,43,0.47563598646140415
4,coex_ITI,28,39,0.008542452572303239
5,coex_VGN,18,31,0.40069576217583824
6,coex_HRV,21,28,0.21088435374149705
7,coex_MSG,30,40,0.1142857142857141
8,coex_ADV,24,31,0.15322580645161343
9,coex_EMS,16,27,0.12273901808785537
10,coex_SMU,16,32,0.1773097826086958
11,coex_ARG,21,28,0.2202380952380949
12,coex_TST,23,38,0.02392429755786485
13,coex_PIT,25,33,0.24112852664576812
14,coex_LVR,30,35,0.03809523809523818
15,coex_THY,26,37,0.4851087351087351
16,coex_PNC,22,34,-0.05707919531448935
17,coex_ATC,17,38,0.42407112995348273
18,coex_BRO,28,36,0.3436379928315414
19,coex_SKN,18,33,0.36270871985157704
20,coex_ADS,18,37,0.26923076923076916
21,coex_GEJ,18,30,0.4036511156186613
22,coex_BRB,17,28,0.2303571428571427
23,coex_UTR,14,23,0.6285714285714286
24,coex_STM,25,37,0.4263063063063064
25,coex_HRA,23,23,0.48481018475962845
26,coex_PRS,24,32,0.2596153846153846
27,coex_ATA,19,35,0.17353961827646058
28,coex_FIB,23,20,0.23822042467138504
29,coex_BRC,23,25,0.4190942028985507
30,coex_ATT,14,35,0.09937888198757738
31,coex_TNV,12,22,0.3155080213903747
32,coex_SPL,26,37,-0.16608916608916635
33,coex_LCL,17,21,0.16858322276278948
34,coex_CLS,21,29,-0.022118874773140007
35,coex_EMC,18,36,0.187076088296954
36,coex_CLT,24,35,0.35475828262339415
37,coex_core,32,40,0.2756136044880788
38,coex_WBL,26,37,-0.17396792396792393
39,co-essential,7,4,-0.26666666666666705
40,GOBP,18,18,2.4450000000000003
41,ppi,50,49,0.11228200371057517
42,reactome_copathway,16,19,0.7730263157894737
43,MP,16,17,-0.13223039215686283
44,HP,19,28,-0.10216365381538939
45,GI_net,18,19,0.5272617819057448
46,gene_gene_on_CbG_name_mapped,14,11,-0.06337662337662331
47,gene_gene_on_GcG_name_mapped,31,28,-0.1684077950480356
48,GOMF,5,1,
