,Layer,Nasal_polyposis nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,35,42,0.11839826839826806
1,coex_BST,22,34,0.27727272727272734
2,coex_OVR,22,35,0.38129414445203924
3,coex_LNG,35,41,0.5605354850540987
4,coex_ITI,28,39,0.352837461046416
5,coex_VGN,25,38,0.2042105263157894
6,coex_HRV,20,14,0.2186974789915963
7,coex_MSG,28,37,-0.042849717849717806
8,coex_ADV,17,35,0.24854557207498384
9,coex_EMS,19,36,0.21544391281233355
10,coex_SMU,21,36,0.19256474519632416
11,coex_ARG,18,38,0.21013201705707107
12,coex_TST,34,45,0.2018035906345661
13,coex_PIT,32,41,0.20303625125292335
14,coex_LVR,22,34,0.2413101604278074
15,coex_THY,21,34,0.41884390119684234
16,coex_PNC,24,36,0.4820402298850577
17,coex_ATC,21,38,0.16040100250626566
18,coex_BRO,32,46,0.4138888888888892
19,coex_SKN,23,36,0.15567428150331608
20,coex_ADS,17,31,0.9415889778071116
21,coex_GEJ,22,36,0.14607279693486586
22,coex_BRB,27,25,0.4358974358974357
23,coex_UTR,14,33,0.07928064842958449
24,coex_STM,24,38,0.1207201471420487
25,coex_HRA,22,35,0.4163590795169745
26,coex_PRS,26,33,0.45984848484848495
27,coex_ATA,19,36,0.08108718766613521
28,coex_FIB,18,32,0.24388888888888882
29,coex_BRC,19,40,0.5635964912280702
30,coex_ATT,16,36,0.44364316239316226
31,coex_TNV,15,22,1.2153297682709443
32,coex_SPL,25,36,0.28418943533697627
33,coex_LCL,13,25,0.21418803418803423
34,coex_CLS,24,38,0.30231324278438043
35,coex_EMC,25,36,0.1706010928961752
36,coex_CLT,25,36,0.23306921675774106
37,coex_core,27,39,0.37051282051282053
38,coex_WBL,27,30,0.29141414141414135
39,co-essential,4,7,0.18019480519480524
40,GOBP,28,19,2.045029239766082
41,ppi,47,49,0.054114198871037855
42,reactome_copathway,12,12,0.7272727272727273
43,MP,17,11,2.679411764705882
44,HP,26,27,0.6381363220985863
45,GI_net,17,16,0.035416666666666874
46,gene_gene_on_CbG_name_mapped,8,8,0.3125
47,gene_gene_on_GcG_name_mapped,24,41,-0.0038714672861013266
48,GOMF,6,8,
