,Layer,Ewing_sarcoma nodes,Retinoblastoma nodes,sAB
0,coex_KDN,43,46,-0.13024164687972206
1,coex_BST,35,40,-0.03523809523809529
2,coex_OVR,37,38,-0.17242294926505441
3,coex_LNG,34,45,-0.1681517332671465
4,coex_ITI,41,44,-0.12004369375244539
5,coex_VGN,38,40,-0.00379554655870451
6,coex_HRV,21,18,0.12516087516087504
7,coex_MSG,38,42,0.13828320802005023
8,coex_ADV,29,34,-0.12862867023575975
9,coex_EMS,32,41,0.06090774306715674
10,coex_SMU,37,41,-0.34003801076971807
11,coex_ARG,34,40,-0.19318362480127194
12,coex_TST,43,45,-0.04800916138125433
13,coex_PIT,38,42,-0.10623610623610613
14,coex_LVR,38,38,0.0
15,coex_THY,43,42,0.13095238095238093
16,coex_PNC,38,40,-0.07729419703103879
17,coex_ATC,39,45,-0.25352564102564124
18,coex_BRO,37,41,-0.03851230070742262
19,coex_SKN,37,42,-0.024094619031327813
20,coex_ADS,31,39,0.5492872086799978
21,coex_GEJ,31,35,-0.07012987012987026
22,coex_BRB,24,27,-0.3934968413229283
23,coex_UTR,30,36,-0.27247474747474754
24,coex_STM,40,43,0.05467217708041483
25,coex_HRA,35,41,-0.18352283146891613
26,coex_PRS,35,38,-0.039319188381913506
27,coex_ATA,34,41,-0.22871596224523927
28,coex_FIB,33,41,0.01237157534246558
29,coex_BRC,38,41,-0.001352756698786095
30,coex_ATT,37,41,0.0374517374517378
31,coex_TNV,16,16,-0.3999999999999999
32,coex_SPL,36,43,0.004759101167696844
33,coex_LCL,30,38,-0.046066659185276526
34,coex_CLS,37,38,-0.22931721194879073
35,coex_EMC,35,40,-0.09857142857142875
36,coex_CLT,34,39,-0.27039627039627034
37,coex_core,42,45,-0.08223986891031698
38,coex_WBL,37,41,-0.08062471477105637
39,co-essential,12,24,-0.03787878787878762
40,GOBP,10,12,-0.5
41,ppi,50,50,-0.09999999999999987
42,reactome_copathway,20,34,0.050062578222778376
43,MP,10,10,-0.0565359477124181
44,HP,23,25,-0.5072826086956521
45,GI_net,31,37,-0.20052310374891014
46,gene_gene_on_CbG_name_mapped,8,13,-0.4123168498168499
47,gene_gene_on_GcG_name_mapped,28,36,-0.0768849206349207
48,GOMF,5,3,
