,Layer,Pyelonephritis nodes,Sepsis nodes,sAB
0,coex_KDN,42,39,-0.1179283679283678
1,coex_BST,26,19,-0.09947368421052616
2,coex_OVR,32,27,-0.38797514619883056
3,coex_LNG,34,33,-0.15778535980148867
4,coex_ITI,35,34,-0.21601028471089934
5,coex_VGN,32,19,0.14827391058290895
6,coex_HRV,26,33,0.011151278100430595
7,coex_MSG,35,39,-0.08674388674388678
8,coex_ADV,31,34,-0.10900735294117636
9,coex_EMS,22,24,-0.11111111111111116
10,coex_SMU,26,25,-0.0375641025641027
11,coex_ARG,21,20,-0.41962833914053466
12,coex_TST,27,26,-0.19031876579046392
13,coex_PIT,35,32,-0.26729744136460565
14,coex_LVR,36,36,-0.375
15,coex_THY,25,21,-0.22028985507246368
16,coex_PNC,29,29,-0.2777093596059115
17,coex_ATC,30,28,-0.19415954415954406
18,coex_BRO,30,32,-0.34364919354838697
19,coex_SKN,26,23,-0.13978723404255344
20,coex_ADS,24,23,-0.04629201356768453
21,coex_GEJ,29,30,0.34589490968801284
22,coex_BRB,21,33,-0.09848484848484862
23,coex_UTR,20,20,-0.2999999999999998
24,coex_STM,30,34,0.07285539215686265
25,coex_HRA,25,31,0.08000000000000007
26,coex_PRS,29,26,-0.4615673981191222
27,coex_ATA,31,31,-0.1333333333333333
28,coex_FIB,20,23,-0.3558139534883722
29,coex_BRC,21,25,-0.06182194616977221
30,coex_ATT,30,22,-0.266946778711485
31,coex_TNV,24,23,-0.4554865424430643
32,coex_SPL,27,32,-0.10722214966697163
33,coex_LCL,14,19,-0.01984126984126977
34,coex_CLS,33,28,0.2052744708994707
35,coex_EMC,30,28,-0.1471264367816092
36,coex_CLT,32,31,-0.07457010582010559
37,coex_core,40,38,-0.17983367983367993
38,coex_WBL,29,34,-0.25426944971537013
39,co-essential,4,11,-0.7848484848484851
40,GOBP,14,8,0.4851648351648348
41,ppi,50,49,-0.11861678004535148
42,reactome_copathway,14,26,-0.4162612612612613
43,MP,16,8,-0.14444444444444482
44,HP,13,14,-0.12774725274725296
45,GI_net,23,22,-0.5227743271221534
46,gene_gene_on_CbG_name_mapped,12,17,-0.12330966869506432
47,gene_gene_on_GcG_name_mapped,32,32,-0.140625
48,GOMF,4,3,
