,Layer,Benign_Neonatal_Epilepsy nodes,Alzheimer_disease nodes,sAB
0,coex_KDN,29,42,0.36621452855061376
1,coex_BST,27,23,0.7069887278582931
2,coex_OVR,18,30,0.577777777777778
3,coex_LNG,22,35,0.5465140123034864
4,coex_ITI,37,39,0.1792683371630741
5,coex_VGN,37,34,0.4449774961373967
6,coex_HRV,21,21,4.440892098500626e-16
7,coex_MSG,26,39,0.2217948717948719
8,coex_ADV,22,33,0.7606060606060607
9,coex_EMS,27,31,0.6302681992337162
10,coex_SMU,16,33,0.3072916666666665
11,coex_ARG,29,34,0.44293846570886464
12,coex_TST,35,33,0.3235166793990323
13,coex_PIT,31,36,0.3974014336917562
14,coex_LVR,15,35,0.3247619047619048
15,coex_THY,22,31,0.6641456582633052
16,coex_PNC,31,32,0.19624455965181742
17,coex_ATC,24,40,0.825
18,coex_BRO,43,38,0.3050077821599648
19,coex_SKN,28,35,0.528688524590164
20,coex_ADS,29,30,0.8334210013637249
21,coex_GEJ,29,32,0.6180491551459291
22,coex_BRB,38,22,0.5028708133971291
23,coex_UTR,17,22,1.1148809523809522
24,coex_STM,32,33,0.5843261241446727
25,coex_HRA,22,29,0.6761363636363638
26,coex_PRS,19,28,0.2577387617981124
27,coex_ATA,21,38,0.8545321637426904
28,coex_FIB,8,29,0.4152493010251632
29,coex_BRC,42,32,0.2068733294353493
30,coex_ATT,22,33,0.7732199011680141
31,coex_TNV,30,28,0.5424951267056528
32,coex_SPL,12,29,0.2852537146061116
33,coex_LCL,4,23,0.25
34,coex_CLS,36,35,0.6374396135265701
35,coex_EMC,20,34,0.6377450980392159
36,coex_CLT,33,33,0.3341450216450217
37,coex_core,38,42,0.7456862777787037
38,coex_WBL,13,36,0.3422728065585212
39,co-essential,6,11,-0.3833333333333333
40,GOBP,26,10,0.5199372759856624
41,ppi,50,50,0.20999999999999996
42,reactome_copathway,13,25,0.6772360703812317
43,MP,14,16,1.273148148148148
44,HP,15,27,0.3947089947089948
45,GI_net,14,23,0.10093167701863326
46,gene_gene_on_CbG_name_mapped,13,11,0.33245920745920743
47,gene_gene_on_GcG_name_mapped,35,35,0.24285714285714288
48,GOMF,6,5,
