,Layer,Epididymitis nodes,Sinusitis nodes,sAB
0,coex_KDN,42,41,-0.008783391405342567
1,coex_BST,29,21,0.8469387755102042
2,coex_OVR,30,33,0.5947271332554063
3,coex_LNG,35,43,0.5100604821535053
4,coex_ITI,43,39,0.39310906525880984
5,coex_VGN,30,31,0.37655561431341456
6,coex_HRV,21,28,0.32168186423505585
7,coex_MSG,42,40,0.42682926829268286
8,coex_ADV,38,31,0.31838684337227297
9,coex_EMS,29,27,0.7564313081554463
10,coex_SMU,24,32,0.3167683552091878
11,coex_ARG,25,28,0.01023809523809538
12,coex_TST,28,38,-0.03870471633629524
13,coex_PIT,33,33,0.48484848484848486
14,coex_LVR,28,35,0.272423887587822
15,coex_THY,24,37,0.04994124559341939
16,coex_PNC,27,34,0.29350155362691543
17,coex_ATC,32,38,0.1519841852722288
18,coex_BRO,31,36,0.09117049162788216
19,coex_SKN,32,33,0.5329184704184704
20,coex_ADS,31,37,0.47424869037772277
21,coex_GEJ,36,30,1.3470597290640396
22,coex_BRB,25,28,0.027563025210084025
23,coex_UTR,20,23,0.4167293233082705
24,coex_STM,32,37,0.27278321965229013
25,coex_HRA,28,23,0.3552188552188551
26,coex_PRS,28,32,0.3838669177652232
27,coex_ATA,29,35,0.16111938908549117
28,coex_FIB,22,20,-0.10108225108225088
29,coex_BRC,29,25,0.23609195402298866
30,coex_ATT,26,35,0.5419047619047621
31,coex_TNV,27,22,0.7586408300694019
32,coex_SPL,23,37,-0.0974343909126516
33,coex_LCL,16,21,-0.1326415701415702
34,coex_CLS,35,29,0.6770148650015173
35,coex_EMC,28,36,0.4126984126984128
36,coex_CLT,33,35,0.2757352941176472
37,coex_core,44,40,0.37276898290837757
38,coex_WBL,30,37,0.055795347586392374
39,co-essential,15,4,0.6031746031746037
40,GOBP,9,18,0.7773809523809527
41,ppi,49,49,0.20408163265306145
42,reactome_copathway,22,19,0.4542763157894738
43,MP,15,17,0.47336676606126327
44,HP,14,28,0.017857142857142794
45,GI_net,25,19,0.7146889952153113
46,gene_gene_on_CbG_name_mapped,10,11,-0.1376623376623376
47,gene_gene_on_GcG_name_mapped,28,28,-0.017857142857142794
48,GOMF,5,1,
