,Layer,Pulmonary_arterial_hypertension nodes,Pulmonary_hypertension nodes,sAB
0,coex_KDN,44,40,-0.0800865800865802
1,coex_BST,27,26,0.022348305752561082
2,coex_OVR,35,29,-0.4214285714285715
3,coex_LNG,37,31,0.12552776657254272
4,coex_ITI,40,41,-0.08633694670280012
5,coex_VGN,38,32,-0.24137687969924815
6,coex_HRV,26,25,0.2153205128205129
7,coex_MSG,36,38,-0.22830725462304424
8,coex_ADV,24,24,0.4217930928152942
9,coex_EMS,33,21,-0.1772486772486772
10,coex_SMU,31,24,-0.1430555555555557
11,coex_ARG,34,20,-0.16688497261252677
12,coex_TST,42,33,-0.22393939393939388
13,coex_PIT,38,31,-0.20316703669844594
14,coex_LVR,38,29,0.01797274968171836
15,coex_THY,37,26,0.02023021781086287
16,coex_PNC,34,26,-0.13785822021116134
17,coex_ATC,33,26,-0.14533799533799518
18,coex_BRO,37,31,-0.25639776398789693
19,coex_SKN,36,27,-0.07804232804232791
20,coex_ADS,31,31,0.1622598272518947
21,coex_GEJ,28,22,-0.31845238095238093
22,coex_BRB,31,26,-0.11446886446886428
23,coex_UTR,23,18,0.1053960659223816
24,coex_STM,39,36,-0.08538461538461539
25,coex_HRA,31,20,-0.03099304237824141
26,coex_PRS,28,28,-0.3247354497354493
27,coex_ATA,38,28,-0.11822169059011145
28,coex_FIB,21,17,-0.3537520271266399
29,coex_BRC,39,27,-0.020460338881391538
30,coex_ATT,33,25,-0.23987460815047013
31,coex_TNV,20,31,-0.23995888678051847
32,coex_SPL,36,24,-0.1875
33,coex_LCL,22,10,-0.2174603174603178
34,coex_CLS,33,33,-0.12710518648018665
35,coex_EMC,35,27,-0.4502482231508267
36,coex_CLT,37,35,-0.19844487344487338
37,coex_core,42,33,-0.0074025974025973
38,coex_WBL,35,21,0.004761904761904967
39,co-essential,9,3,-0.36111111111111116
40,GOBP,13,10,0.008333333333333304
41,ppi,49,47,-0.0644720654219133
42,reactome_copathway,16,20,-0.07209960384833036
43,MP,7,9,0.5946428571428575
44,HP,36,22,-0.08024207593173105
45,GI_net,23,17,-0.36493506493506533
46,gene_gene_on_CbG_name_mapped,8,21,-0.35437192118226624
47,gene_gene_on_GcG_name_mapped,32,33,-0.24659819347319356
48,GOMF,6,2,
