,Layer,Pain nodes,Glaucoma nodes,sAB
0,coex_KDN,32,39,0.3317702690501987
1,coex_BST,13,21,0.310913224706328
2,coex_OVR,16,35,0.1026960784313724
3,coex_LNG,14,33,0.708333333333333
4,coex_ITI,23,37,0.14413063738401055
5,coex_VGN,19,40,0.3575187969924811
6,coex_HRV,13,26,0.46777546777546775
7,coex_MSG,21,41,0.22449514817728833
8,coex_ADV,19,19,0.5835913312693499
9,coex_EMS,14,29,0.6011954823981736
10,coex_SMU,10,29,0.8117152961980549
11,coex_ARG,11,29,0.902033598585323
12,coex_TST,19,41,0.08433889602053912
13,coex_PIT,23,38,0.2702573432869415
14,coex_LVR,19,37,0.4403350719140191
15,coex_THY,11,32,0.9226190476190474
16,coex_PNC,16,34,0.2599999999999998
17,coex_ATC,11,32,0.3356083702882482
18,coex_BRO,24,33,0.4938197767145136
19,coex_SKN,18,36,0.7079331732693079
20,coex_ADS,15,26,0.5203877423389618
21,coex_GEJ,19,27,0.6108058608058604
22,coex_BRB,17,27,0.4769261239849478
23,coex_UTR,9,28,0.8442265795206971
24,coex_STM,24,39,0.14583333333333348
25,coex_HRA,15,26,0.48076923076923084
26,coex_PRS,17,28,0.3429383116883118
27,coex_ATA,13,30,0.8298151460942154
28,coex_FIB,8,27,0.22596153846153832
29,coex_BRC,17,35,0.5126050420168067
30,coex_ATT,16,32,0.8530017921146955
31,coex_TNV,13,28,0.7227954971857411
32,coex_SPL,20,27,0.5245436824384191
33,coex_LCL,5,13,-0.40683760683760717
34,coex_CLS,20,30,0.43333333333333357
35,coex_EMC,17,32,-0.12198004201680712
36,coex_CLT,18,37,0.32772317772317794
37,coex_core,26,37,0.46646464646464647
38,coex_WBL,19,27,0.5393407761828815
39,co-essential,8,6,-1.297619047619048
40,GOBP,13,9,0.8025793650793651
41,ppi,50,49,0.3138878581735727
42,reactome_copathway,16,23,0.8554147465437789
43,MP,16,11,1.6571428571428575
44,HP,18,20,0.4472222222222224
45,GI_net,14,21,0.07683982683982693
46,gene_gene_on_CbG_name_mapped,17,9,-0.010809451985922536
47,gene_gene_on_GcG_name_mapped,29,38,-0.012683858385025948
48,GOMF,4,2,
