,Layer,Metrorrhagia nodes,Dyspareunia nodes,sAB
0,coex_KDN,48,38,0.1005074459404327
1,coex_BST,40,21,0.15641025641025674
2,coex_OVR,41,25,0.16892830746489285
3,coex_LNG,46,33,0.41319774520104735
4,coex_ITI,47,29,0.35119554204660597
5,coex_VGN,45,28,0.1592592592592592
6,coex_HRV,28,27,-0.055792652490765704
7,coex_MSG,47,33,0.06665054803352666
8,coex_ADV,37,20,0.5805120910384067
9,coex_EMS,44,23,0.00848769984071751
10,coex_SMU,42,25,0.17640692640692635
11,coex_ARG,41,25,0.12876524390243915
12,coex_TST,48,34,0.1697453371592541
13,coex_PIT,46,30,0.06766616691654193
14,coex_LVR,38,26,0.2511386639676114
15,coex_THY,38,28,0.18395561553456252
16,coex_PNC,42,25,0.36085998578535916
17,coex_ATC,44,32,0.2189078282828283
18,coex_BRO,45,33,0.3225108225108224
19,coex_SKN,44,26,0.08326673326673317
20,coex_ADS,34,26,0.2503654537552844
21,coex_GEJ,43,21,0.20648186600221496
22,coex_BRB,28,31,0.1952569710224168
23,coex_UTR,36,12,0.13829787234042534
24,coex_STM,43,32,0.39397771317829466
25,coex_HRA,42,30,0.1607142857142858
26,coex_PRS,45,26,0.24783425529694192
27,coex_ATA,42,35,0.6010822510822509
28,coex_FIB,42,13,0.13386838996595096
29,coex_BRC,40,22,0.13713343108504406
30,coex_ATT,41,28,0.3424922991465942
31,coex_TNV,21,18,0.40476190476190466
32,coex_SPL,41,29,0.06532500300372468
33,coex_LCL,39,13,0.09394736842105278
34,coex_CLS,41,22,0.22265932336742722
35,coex_EMC,41,29,0.23562717770034847
36,coex_CLT,44,27,0.5437828938840061
37,coex_core,46,33,0.20538349927452848
38,coex_WBL,44,30,0.1402743652743652
39,co-essential,24,5,0.8576923076923073
40,GOBP,14,16,1.571428571428572
41,ppi,50,50,0.11999999999999988
42,reactome_copathway,17,13,0.5897435897435896
43,MP,9,10,-0.04298245614035068
44,HP,18,34,0.24723479135243842
45,GI_net,33,17,0.4899092615769711
46,gene_gene_on_CbG_name_mapped,7,2,-0.1428571428571428
47,gene_gene_on_GcG_name_mapped,34,31,-0.028207560940008758
48,GOMF,2,11,
