,Layer,Nasal_polyposis nodes,Methylmalonic_acidemia nodes,sAB
0,coex_KDN,35,48,0.362908777969019
1,coex_BST,22,46,0.32178563124854676
2,coex_OVR,22,44,0.6212121212121213
3,coex_LNG,35,46,0.9177555402193083
4,coex_ITI,28,47,0.5011854103343465
5,coex_VGN,25,46,0.33919779546846285
6,coex_HRV,20,31,1.151102699144174
7,coex_MSG,28,47,0.04424012158054724
8,coex_ADV,17,40,0.43188854489164097
9,coex_EMS,19,47,0.24354406325290956
10,coex_SMU,21,46,0.3658725008497883
11,coex_ARG,18,45,0.44934640522875835
12,coex_TST,34,47,0.31344736476150725
13,coex_PIT,32,43,0.2033139534883721
14,coex_LVR,22,45,0.39015151515151514
15,coex_THY,21,43,1.1904761904761907
16,coex_PNC,24,43,0.46507901013715003
17,coex_ATC,21,42,0.5634920634920637
18,coex_BRO,32,41,0.7446124290010023
19,coex_SKN,23,46,0.3659420289855073
20,coex_ADS,17,25,0.9327731092436973
21,coex_GEJ,22,45,0.02943615257048071
22,coex_BRB,27,16,1.0576550387596897
23,coex_UTR,14,44,0.25733318405732186
24,coex_STM,24,43,0.30053945389332437
25,coex_HRA,22,45,0.39963817277250113
26,coex_PRS,26,44,0.3450814111261873
27,coex_ATA,19,35,0.7070732386521863
28,coex_FIB,18,46,0.47924214975845403
29,coex_BRC,19,46,0.5377486358035557
30,coex_ATT,16,44,0.7039772727272724
31,coex_TNV,15,13,0.6974358974358976
32,coex_SPL,25,40,0.28192307692307716
33,coex_LCL,13,43,0.20629951443904915
34,coex_CLS,24,47,0.20424408151033857
35,coex_EMC,25,46,0.28029393753827314
36,coex_CLT,25,45,0.23904761904761918
37,coex_core,27,43,0.3448121645796065
38,coex_WBL,27,42,0.35009476427386854
39,co-essential,4,18,0.13762626262626299
40,GOBP,28,29,2.409209085933224
41,ppi,47,50,0.4182978723404256
42,reactome_copathway,12,17,1.4515909090909092
43,MP,17,8,1.3448879551820725
44,HP,26,27,0.8463823039294738
45,GI_net,17,22,0.439709595959596
46,gene_gene_on_CbG_name_mapped,8,18,0.6399572649572649
47,gene_gene_on_GcG_name_mapped,24,31,0.08269794721407608
48,GOMF,6,3,
