,Layer,Cerebral_edema nodes,Rosacea nodes,sAB
0,coex_KDN,41,35,0.4118283513662204
1,coex_BST,35,18,0.6526610644257702
2,coex_OVR,36,27,0.6005291005291005
3,coex_LNG,37,28,1.0877264627264625
4,coex_ITI,44,33,0.6001082251082253
5,coex_VGN,39,28,0.6884615384615385
6,coex_HRV,26,25,0.6266968325791855
7,coex_MSG,41,38,0.2930038510911426
8,coex_ADV,31,18,1.0726537926998758
9,coex_EMS,39,19,0.7401461212713483
10,coex_SMU,36,20,0.9150793650793649
11,coex_ARG,34,22,0.6549847211611919
12,coex_TST,40,30,0.36130952380952364
13,coex_PIT,40,29,0.4955772113943029
14,coex_LVR,40,25,0.8365873015873015
15,coex_THY,33,28,1.3128504009651554
16,coex_PNC,33,21,0.5280913072776277
17,coex_ATC,37,32,0.7129386849536106
18,coex_BRO,37,29,0.8141432969019176
19,coex_SKN,40,29,0.4387509042681459
20,coex_ADS,32,27,0.8721978557504872
21,coex_GEJ,37,30,0.6994949494949494
22,coex_BRB,21,26,0.7284116592627234
23,coex_UTR,32,15,0.6067546583850931
24,coex_STM,41,29,0.5740478192959273
25,coex_HRA,37,23,1.0987590055386662
26,coex_PRS,36,26,1.0943272677143645
27,coex_ATA,29,27,0.6151477832512318
28,coex_FIB,33,17,0.6012700534759361
29,coex_BRC,37,14,0.5465591642062231
30,coex_ATT,36,29,1.1516872973769527
31,coex_TNV,18,27,0.6314814814814813
32,coex_SPL,40,27,0.5743919292426753
33,coex_LCL,30,16,0.5883689107827039
34,coex_CLS,38,30,0.6059674404745778
35,coex_EMC,39,31,0.8583418479054152
36,coex_CLT,41,31,0.48191731031349416
37,coex_core,40,35,1.0510714285714284
38,coex_WBL,34,28,0.6610325368763168
39,co-essential,13,6,0.37292609351432837
40,GOBP,30,23,2.239455782312925
41,ppi,50,48,0.3533673469387755
42,reactome_copathway,20,18,0.3159041394335511
43,MP,9,13,-0.03342490842490875
44,HP,32,18,0.80375
45,GI_net,17,9,-0.11613876319758676
46,gene_gene_on_CbG_name_mapped,25,11,0.24949494949494966
47,gene_gene_on_GcG_name_mapped,30,29,-0.11804013247613487
48,GOMF,10,6,
